"code","song_code","artist","title","year","genre","subgenre","tempo (BPM)","key","energetics","instrumentation_groups","instrumentation","language","explicit_new","lyrics timeframe","timestamp_start","timestamp_end","duration_sec","url_excerpt"
"H_2Pac_AllEyez","H015","2Pac","All Eyez On Me","1996","Hip-Hop/Rap","Gangsta Rap","93",NA,"mittel","instrumental + vocal",NA,"en","yes","One nigga's gettin' jealous and motherfuckers died. Depend on me like the first and fifteenth. They might hold me for a second, but these punks won't get me. We got foe niggas and low riders in ski masks. Screamin', ""Thug Life"" every time they pass, all eyes on me. Live the life of a thug nigga until the day I die. Live the life of a boss player (All eyes on me) 'cause even gettin' high. All eyes on me. Live the life of a thug nigga until the day I die. Live the life of a boss player 'cause even gettin' high","00:01:06","00:01:40",34,"https://www.youtube.com/embed/05PCmqjIeNE?start=66&end=100&autoplay=1"
"H_2Pac_KeepYaH","H060","2Pac","Keep Ya Head Up","1993","Hip-Hop/Rap","Gangsta Rap","86",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"Keep ya head up, ooh, child, things are gonna get easier. Keep ya head up, ooh, child, things'll get brighter. Keep ya head up, ooh, child, things are gonna get easier. Keep ya head up, ooh, child, things'll get brighter. Aiyyo, I remember Marvin Gaye, used to sing to me. He had me feelin' like black was tha thing to be. And suddenly tha ghetto didn't seem so tough. And though we had it rough, we always had enough. I huffed and puffed about my curfew and broke the rules. Ran with the local crew, and had a smoke or two","00:01:22","00:02:03",41,"https://www.youtube.com/embed/sPS54-fIpVs?start=82&end=123&autoplay=1"
"H_50Cent_CandySh","H059","50 Cent ft. Olivia","Candy Shop","2005","Hip-Hop/Rap","gangsta Rap","98",NA,"mittel-schnell","instrumental + vocal",NA,"en",NA,"Welcome to the candy shop. Yeah. Uh-huh. So seductive. I'll take you to the candy shop. I'll let you lick the lollipop. Go 'head girl don't you stop. Keep going 'til you hit the spot, whoa. I'll take you to the candy shop (yeah). Boy, one taste of what I got (uh-huh). I'll have you spending all you got (come on). Keep going 'til you hit the spot, whoa. You could have it your way, how do you want it? You gon' back that thing up, or should I push up on it? Temperature rising, okay, let's go to the next level. Dance floor jam-packed, hot as a tea kettle. I break it down for you now, baby it's simple","00:00:25","00:01:13",48,NA
"H_50Cent_InDaClu","H041","50 Cent","In Da Club","2003","Hip-Hop/Rap","Gangsta Rap","90",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Go, go, go, go, go, go, Go, shorty. It's your birthday. We gon' party like it's your birthday. We gon' sip Bacardi like it's your birthday. And you know we don't give a fuck it's not your birthday, You can find me in the club, bottle full of bub. Mama I got what you need, if you nedd to feel the buz. I'm into havin' sex, I ain't into makin' love. So come give me a hug, if you into getting rubbed. You can find me in the club, bottle full of bub. Mama I got what you need, if you nedd to feel the buz. I'm into havin' sex, I ain't into makin' love","00:00:40","00:01:18",38,"https://www.youtube.com/embed/5qm8PH4xAss?start=40&end=78&autoplay=1"
"H_ActionBronson_ActinCr","H047","Action Bronson","Actin Crazy","2015","Hip-Hop/Rap","Hip-Hop/Rap","166 Halftime",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Ma, you know I'm still your little baby. All my life I was a fuck-up, now I pull the truck up. Same bitch stuck up, now she wanna suck us. See me hangin' out the window, screamin', ""What, what?!"". No more tough luck, a different cloth is what I'm cut from. Baby, oh, my lord. The cops chasin' Bronson in an all-white Ford. Shit, I'm on that all-night tour. Bitch, I'm alright, but I'm off that raw. I'm in a robe dancin' salsa on the top floor. You would swear I'm Puerto Rican, but I'm not, lord. Hot hoes every city that we go, singin'. ""Heads high, kill 'em with it now!"". Uh, all I do is eat oysters. And speak six languages in three voices. It's Adriatic","00:00:15","00:01:12",57,"https://www.youtube.com/embed/debIyWS6Byc?start=15&end=72&autoplay=1"
"H_AedFX_Warning","H901","AedFX","Warning","2016","Hip-Hop/Rap","Instrumental Hip-Hop","130",NA,"0.66","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_AkuaNaru_Poetry","H042","Akua Naru","Poetry: How Does It Feel Now","2011","Hip-Hop/Rap","Jazz","73",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"Play, make believe, as my tears, poor chest, Won't succeed to breathe, if not to hear of you. Surely there has never been a shade so blue. A stank attitude, so not mad at you. Not a magnitude to encompass the latitude Of my love for you. No space and time compatible. What do I have to do? What do I have to do? Uh.my friends say I got it bad for you. I do. But there's nothing in this world","00:00:59","00:01:34",35,NA
"H_ASAPRocky_Fashion","H078","A$AP Rocky","Fashion Killa","2013","Hip-Hop/Rap","Trap","140",NA,"niedrig","instrumental + vocal",NA,"en","yes","I said her pistol go (Bang-bang, boom-boom, pop-pop). Her pistol go (Bang-bang, boom-boom, pop-pop). I said her pistol go (Bang-bang, boom-boom, pop-pop). 'Cause she a fashion killa, and I'm a jiggy nigga, uh. I said, rockin', rollin', swaggin' to the max. My bitch a fashion killa, she be busy poppin' tags. She got a lotta Prada, that Dolce and Gabbana. I can't forget Escada, and that Balenciaga. I'm sippin' purple syrup, come be my Aunt Jemima. And if you is a rider, we'll go shopping like mañana. Her attitude Rihanna","00:00:51","00:01:28",37,"https://www.youtube.com/embed/F6VfsJ7LAlE?start=51&end=88&autoplay=1"
"H_BBou_Kanona","H029","BBou","Kanona","2012","Hip-Hop/Rap","Hip-Hop/Rap","81",NA,"mittel","instrumental",NA,NA,NA,NA,"00:00:22","00:01:11",49,"https://www.youtube.com/embed/8aJCXj0-h4s?start=22&end=71&autoplay=1"
"H_BeastieBoys_FightFo","H046","Beastie Boys","Fight For Your Right","1986","Hip-Hop/Rap","Rock","134",NA,"hoch","instrumental + vocal",NA,"en",NA,"I'll kick you out of my home if you don't cut that hair. Your mom busted in and said, what's that noise? Aw, mom you're just jealous it's the Beastie Boys. You gotta fight for your right to party. You gotta fight","00:02:38","00:03:16",38,"https://www.youtube.com/embed/eBShN8qT4lk?start=158&end=196&autoplay=1"
"H_Beginner_Füchse","H024","Beginner feat. Samy Deluxe","Füchse","1998","Hip-Hop/Rap",NA,"85",NA,"niedrig","instrumental + vocal",NA,"de",NA,"Ich hau' ab aus meinem Bau. Verschließ' die Tür, ziehe durchs Revier. Markier' hier und da mal, dass ich da war. Höre Gelaber, schleiche gerade über die Promenade. Zeuge einer großen Maskerade. Große Buchstaben, grelle Farben, die mir sagen, dass sie Kabelfernsehen haben. Gestiken von Gerngesehenden, aber jeder Fuchs weiß. Dass ähnliche Garderobe heute leider nicht mehr Schutz heißt. Deshalb schnupper' ich, was befindet sich da darunter. Immer auf der Hut - wie Udo - und darunter. Jede Nacht, jeden Tag auf der Jagd, denn das Rudel tollt","00:00:37","00:01:13",36,NA
"H_BiggieSmalls_Hypnoti","H006","Biggie Smalls","Hypnotize","1997","Hip-Hop/Rap","electro","94",NA,"niedrig","instrumental + vocal",NA,"en","yes","Biggie, Biggie, Biggie, can't you see? Sometimes your words just hypnotize me. And I just love your flashy ways. Guess that's why they broke, and you're so paid (uh). Biggie, Biggie, Biggie (uh-huh), can't you see? (Uh). Sometimes your words just hypnotize me (hypnotize). And I just love your flashy ways (uh-huh). Guess that's why they broke, and you're so paid (ha). I put hoes in NY onto DKNY (uh-huh). Miami, D.C. prefer Versace (that's right). All Philly hoes know it's Moschino (c'mon). Every cutie wit a booty bought a Coogi (ha). Now who's the real dookie? Meanin', who's really the shit? Them niggas ride dicks, Frank White push the six. Or the Lexus, LX, four and a half. Bulletproof glass","00:00:53","00:01:33",40,"https://www.youtube.com/embed/wk4ftn4PArg?start=53&end=93&autoplay=1"
"H_BigSeanftKendrickLamar_Control","H106","Big Sean ft. Kendrick Lamar ft. Kendrick Lamar","Control","2013","Hip-Hop/Rap","Hip-Hop/Rap","86",NA,"mittel","instrumental + vocal",NA,"en","yes","Miscellaneous minds are never explainin' their minds. Devilish grin for my alias aliens to respond. Peddlin' sin, thinkin' maybe when you get old you realize. I'm not gonna fold or demise. (I don't smoke crack, motherfucker I sell it!). Bitch, everything I rap is a quarter piece to your melon. So if you have a relapse, just relax and pop in my disc. Don't pop me no fucking pill, I'mma a pop you and give you this. Tell Flex to drop a bomb on this shit. So many bombs, ring the alarm like Vietnam in this shit. So many bombs, make Farrakhan think Saddam in this bitch. One at a time, I line 'em up and bomb on they mom. While she watchin' the kids. I'm in a destruction mode if the gold exists. I'm important like the pope, I'm a muslim on pork. I'm Makaveli's offspring, I'm the king of New York. King of the Coast, one hand, I juggle them both","00:00:11","00:00:56",45,"https://www.youtube.com/embed/JdcNoGmt7Ws?start=11&end=56&autoplay=1"
"H_Blackalicious_Alphabe","H075","Blackalicious","Alphabet Aerobics","1999","Hip-Hop/Rap","Hip-Hop/Rap","91-109, wird schneller",NA,"hoch","instrumental + vocal",NA,"en",NA,"Artificial amateurs aren't at all amazing. Analytically, I assault, animate things. Broken barriers bounded by the bomb beat. Buildings are broken, basically I'm bombarding. Casually create catastrophes, casualties. Canceling cats got their canopies collapsing. Detonate a dime of dank daily doin' dough. Demonstrations, Don Dada on the down low. Eatin' other editors with each and every energetic. Epileptic episode, elevated etiquette. Furious fat fabulous fantastic. Flurries of funk felt feeding the fanatics. Gift got great global goods gone glorious. Gettin' Godly in his game with the goriest. Hit 'em high, hella hype, historical. Hey holocaust hints hear 'em holler at your homeboy. Imitators idolize, I intimidate. In a instant, I'll rise in a irate state. Juiced on my jams like jheri curls, jockin' joints. Justly, it's just me, writin' my journals","00:00:11","00:01:01",50,"https://www.youtube.com/embed/8D5iyKXZcUQ?start=11&end=61&autoplay=1"
"H_BlackEyedPeas_WhereIs","H009","Black Eyed Peas","Where Is The Love","2003","Hip-Hop/Rap","Dance","94",NA,"niedrig","instrumental + vocal",NA,"en",NA,"Why are there pieces of love that don't belong? Nations droppin' bombs. Chemical gases filling lungs of little ones. With ongoing sufferin' as the youth die young. So ask yourself, is the lovin' really gone? So I can ask myself, really, what is going wrong. With this world that we livin' in? People keep on givin' in. Makin' wrong decisions, only visions of them dividends. Not respectin' each other, deny thy brother. A war is goin' on, but the reason's undercover. The truth is kept secret, and swept under the rug. If you never know truth, then you never know love. Where's the love, y'all? Come on (I don't know). And where's the truth, y'all? Come on (I don't know). And where's the love y'all? People killin', people dyin'. Children hurtin', hear them cryin'. Can you practice what you preach? And would you turn","00:01:38","00:02:23",45,"https://www.youtube.com/embed/WpYeekQkAdc?start=98&end=143&autoplay=1"
"H_Blackstreet_NoDiggi","H097","Blackstreet ft. Dr. Dre, Queen Pen","No Diggity","1996","Hip-Hop/Rap","Pop","89",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"East side to the west side. Pushin' phat rides, it's no surprise. She got tricks in the stash, stacking up the cash. Fast when it comes to the gas. By no means average. She's on when she's got to have it. Baby, you're a perfect ten, I wanna get in. Can I get down so I can win? I like the way you work it. No diggity, I got to bag it up, bag it up. I like the way you work it. No diggity, I got to bag it up, bag it up, girl. I like the way you work it. No diggity, I got to bag it up, bag it up. I like the way you work it. No diggity, I got to bag it up, bag it up, girl","00:01:05","00:01:49",44,"https://www.youtube.com/embed/3KL9mRus19o?start=65&end=109&autoplay=1"
"H_Blumio_LassMal","H010","Blumio","Lass Mal Über Haie Reden","2009","Hip-Hop/Rap","Deutschrap /Alternative","102",NA,"hoch","instrumental + vocal",NA,"de",NA,"sei das übertriebenste Drogenwrack. Und dass er öfter diese Halluzinationen hat! Sie hats geschluckt, wir gingen weiter spazieren. Doch nach einer Weile mit ihr musst ich leider kapieren: Sie ist nicht die Art Frau, der man im Traum begegnet. Naja, es ist halt leider so, dass sie sau viel redet! Von den Beziehungsproblemen, von Karsten und Britt. Wer sind Karsten und Britt man - sie schwafelt nur misst! Von mir aus sag ich's diesem Mädel auch ins Gesicht:""Hey, weißt du was?"" Ah ne, ich trau mich jetzt nicht. Ich sag mir: Finde dich ab man. Doch weil mich das so nervös macht, hab ich jetzt auch dringendsten Kackdrang! Ich muss das Thema wechseln, sonst wird sie noch weiter reden! Alles was mir einfällt ist: ""LASS MA ÜBER HAIE REDEN!"" Ihre Haut verhält sich wie ein Schwimmanzug. Aber Haie sind auch durchaus im Pimpern gut! Das Männchen steckt sein' Haipimmel in ihre Kloake rein. Und beißt sie dabei - sie steht voll auf den harten Scheiß. Du bist so langweilig! Lass ma' über Haie reden. Geh mir nich aufn Sack! Lass ma' über Haie reden. Halt mal die Schnauze! Lass ma' über Haie reden. Du bist uninteressant! Lass ma' über Haie reden. Du bist so langweilig! Lass ma' über Haie reden. Geh mir nich aufn Sack! Lass ma' über Haie reden. Halt mal die Schnauze! Lass ma' über Haie reden. Du bist uninteressant!","00:01:20","00:02:05",45,"https://www.youtube.com/embed/LthpTOGqcTQ?start=80&end=125&autoplay=1"
"H_brillion_Aurora","H902","brillion","Aurora","2020","Hip-Hop/Rap","Instrumental Hip-Hop","122",NA,"0.25","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_Bushido_LebenUn","H045","Bushido","Leben Und Tod Des Kenneth Glöckler","2013","Hip-Hop/Rap","Deutschrap","87",NA,"niedrig-mittel","instrumental + vocal",NA,"de",NA,"Ich erzähl's dir nochmal, warte kurz. Ich fang an, nach der Trennung deiner Nabelschnur. Irgendwo in Ravensburg. Für dich ist die Bonzengegend sowas wie die Bronx gewesen. Man könnte auch von ""Malibu's Most wanted"" reden. Mit deinen Durags und der ekligen Baggy. Dachtest du im Ernst, du bist der schwäbische Nelly. Überheblicher Kenny wollte unbedingt so hart sein. Plünderte sein Sparschwein und gründete dann ""Chablife"". Doch mal angenomm' Jaysus hätt sich deiner niemals angenomm'. Dann wärst du nie vorangekomm'. ""Wie schreibt man ein' ganzen Song?"" Der Typ war dein Lehrer. Als Dank dafür belügst und betrügst du ihn später","00:02:03","00:02:38",35,"https://www.youtube.com/embed/uT-hBZXTwEI?start=123&end=158&autoplay=1"
"H_BustaRhymes_PutYour","H110","Busta Rhymes","Put Your Hands Where My Eyes Can See","1997","Hip-Hop/Rap","Pop Rap","100",NA,"mittel","instrumental",NA,NA,NA,NA,"00:00:40","00:01:19",39,"https://www.youtube.com/embed/_VmqAGurarU?start=40&end=79&autoplay=1"
"H_CardiB_BodakYe","H022","Cardi B","Bodak Yellow","2017","Hip-Hop/Rap","Trap","125",NA,"hoch","instrumental + vocal",NA,"en","yes","Said little bitch, you can't fuck with me. If you wanted to. These expensive, these is red bottoms. These is bloody shoes. Hit the store, I can get 'em both. I don't wanna choose. And I'm quick, cut a nigga off. So don't get comfortable. Look, I don't dance now. I make money moves (ayy, ayy). Say I don't gotta dance. I make money move. If I see you and I don't speak. That means I don't fuck with you. I'm a boss, you a worker, bitch. I make bloody moves. Now she says she gon' do what to who? Let's find out","00:00:14","00:00:50",36,"https://www.youtube.com/embed/PEGccV-NOm8?start=14&end=50&autoplay=1"
"H_ChanceRapper_SummerF","H027","Chance The Rapper","Summer Friends","2016","Hip-Hop/Rap",NA,"80",NA,"niedrig","instrumental + vocal",NA,"en","yes","Socks on concrete, jolly rancher kids. I was talking back and now I gotta stay at grandma's crib. Bunch of tank top, nappy headed bike-stealing Chatham boys. None of my nigga's ain't had no dad. None of my nigga's ain't have no choice. JJ, Mikey, Lil Derek and them. 79th street was America then. Ice cream truck and the beauty supply. Blockbuster movies and Harold's again. We still catching lightning bugs. When the plague hit the backyard. Had to come in at dark","00:00:56","00:01:34",38,"https://www.youtube.com/embed/rT4wUByldo4?start=56&end=94&autoplay=1"
"H_ChineseMan_IveGotT","H090","Chinese Man","I've Got That Tune","2007","Hip-Hop/Rap","Hip-Hop/Rap","90",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"I've got the place, I've got the time. I've got a lot of love words that rhyme. But I've got nobody to hear my song. So I'm hummin', hummin' to myself","00:02:29","00:03:12",43,"https://www.youtube.com/embed/kqjeNSNuNPM?start=149&end=192&autoplay=1"
"H_Claptu_Aper","H904","Claptu feat. Beatmund Noise","Aper","2020","Hip-Hop/Rap","Instrumental Hip-Hop","60",NA,"0.37","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_ClaptuClows_sadocto","H903","ClaptuClows","sad octopus","2021","Hip-Hop/Rap","Instrumental Hip-Hop","80",NA,"0.28999999999999998","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_Coolio_Gangsta","H021","Coolio","Gangsta's Paradise","1995","Hip-Hop/Rap","gangsta Rap","80",NA,"niedrig","instrumental + vocal",NA,"en",NA,"As I walk through the valley of the shadow of death. I take a look at my life, and realize there's nothin' left. 'Cause I've been blastin' and laughin' so long. That even my momma thinks that my mind is gone. But I ain't never crossed a man that didn't deserve it. Me be treated like a punk, you know that's unheard of. You better watch how you talkin' and where you walkin'. Or you and your homies might be lined in chalk. I really hate to trip, but I gotta loc. As they croak, I see myself in the pistol smoke. Fool, I'm the kinda G the little homies wanna be like. On my knees in the night, sayin' prayers in the streetlight. Been spendin' most their lives livin' in the gangsta's paradise. Been spendin' most their lives livin' in the gangsta's paradise","00:00:22","00:01:08",46,"https://www.youtube.com/embed/cpGbzYlnz7c?start=22&end=68&autoplay=1"
"H_Cunninlynguists_LoveAin","H081","Cunninlynguists","Love Ain't","2003","Hip-Hop/Rap","Underground","94",NA,"mittel-hoch","instrumental + vocal",NA,"en",NA,"Love ain't for the faint of heart. Start training, this game is hard. And arduous, you're gonna play in the dark, like when it rains in the park. You're hardly conscious of the stains and scars, enabling your partly clouded logic. To pay to impart bliss with arrangements of chocolates. Now, you're working yourself out the same as when you strain' with a nautilus. And you're willing to embrace pain facing sustained negative consequence. If nothing you say when in love is embedded with common sense. Then, do you really regret when you've shredded your promises? Now, I've tested the waters, kid. Sipped it; rippled the pond a bit. Visits have been abolished, and this shit's killing my confidence. Is this filling your conscience when distance is an accomplishment? If you miss chicks when they're around, the phrase ""Let's quit"" isn't an option. You best fix whatever's wrong and just move on and get on with it. Cause, You'll catch bigger fish in the sea if you manage not to drown in it. It's sad, but proud or not, most your standards go down a notch","00:00:24","00:01:08",44,"https://www.youtube.com/embed/YebR5J4nqxE?start=24&end=68&autoplay=1"
"H_CunninLynguists_Valleyo","H085","CunninLynguists","Valley of Death","2007","Hip-Hop/Rap","Hip-Hop/Rap","88",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Cancelled, for pissin' on our hopes and esteems. Since I's a youth seen it scenic like they broke in my dreams. Weave it together, I need all the yarn you can swing. From filthy farms we learned about what type alarm you can ring. Are you gon' listen? It seems the only sense you got is vision. And since we shed our senses now the sense is steady slippin'. And since we stopped our youth from prayin' senselessness is livid. And the rich don't really give a fuck cause they don't gotta live it. I see hard livin' e'ryday, you never payed a visit. To ya'll the 'hood's a museum, in truth we just exhibits. In truth we just some digits, a means to an end. By any means from out KY we gon' win. Since ya'll won't listen, I oughta use fists in place of my pen","00:01:33","00:02:10",37,"https://www.youtube.com/embed/mM-qAebAqVg?start=93&end=130&autoplay=1"
"H_Cyne_OneDay","H011","Cyne","One Day","2009","Hip-Hop/Rap","Alternative","90",NA,"mittel","instrumental + vocal",NA,"en","yes","Reign supreme in this rain of things. Superficial missile immaterial goods you fling. All your money at, son, put it on my back, what, throw away your love hun how you like that. Flip you like a bird nigga put you in a bag. Throw you in cerame wrap now we making cash. Killing my community but now I've got some rims. High rise on big bits its how I live. Custom alligator interior its what I did. Sold they mama a hit but now look at their kids. Am I just a fresh","00:00:50","00:01:20",30,"https://www.youtube.com/embed/4Guv9mT1VBI?start=50&end=80&autoplay=1"
"H_D-12_FightMu","H053","D-12","Fight Music","2001","Hip-Hop/Rap","Gangsta Rap","90",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Tired of wearin' this yellow thong. Take it back Sisqo, you know where it belongs. Now here's a gun, I'll put it in your palm. Now go over there and blow up Dru Hill's arms, fuck your love songs. This kind of music, use it and you get amped to do. Whenever you hear some shit and you can't refuse it. It's just some for these kids to trash they rooms with. Just refuse whenever they asked to do. The type of that you don't have to ask who produced it. You just know that's the new. The type of that causes mass confusion. And drastic movement of people actin' stupid","00:02:04","00:02:41",37,"https://www.youtube.com/embed/7pVfBW6N7QA?start=124&end=161&autoplay=1"
"H_DECAP_Panther","H905","DECAP","Panther","2020","Hip-Hop/Rap","Instrumental Hip-Hop","111",NA,"0.72","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_Deli_5_32","H917","The Deli","5:32pm","2016","Hip-Hop/Rap","Instrumental Hip-Hop","86",NA,"0.19","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_Desiigner_Panda","H002","Desiigner","Panda","2016","Hip-Hop/Rap","Trap","145",NA,"hoch","instrumental + vocal",NA,"en","yes","I got broads in Atlanta. Twistin' dope, lean, and the Fanta. Credit cards and the scammers. Hittin' off licks in the bando. Black X6, Phantom. White X6 looks like a panda. Goin' out like I'm Montana. Hundred killers, hundred hammers. Black X6, Phantom. White X6, panda. Pockets swole, Danny. Sellin' bar, candy. Man I'm the macho like Randy. The choppa go Oscar for Grammy. Damn nigga pull up ya panty. Hope you killas understand me. I got broads in Atlanta","00:00:39","00:01:09",30,"https://www.youtube.com/embed/4NJlUribp3c?start=39&end=69&autoplay=1"
"H_Dexter_Everyda","H906","Dexter","Everyday Like This","2016","Hip-Hop/Rap","Instrumental Hip-Hop","92",NA,"0.63","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_DieOrsons_Ventila","H115","Die Orsons","Ventilator","2015","Hip-Hop/Rap",NA,"90",NA,"hoch","instrumental + vocal",NA,"de",NA,"Nur an den der schweigt ist das Gold zu vergeben. Du tust mir leid, weil du offenbar leidest. Ich wünschte, ich könnt' deine große Angst heilen. Du bisch ein Ventilator. Ven-tila-tila-tor. Du bisch ein Ventilator. Ven-tila-tila-tor. Du bisch ein Ventilator. Ven-tila-tila-tor. Du bisch ein Ventilator. Ven-tila-tila-tor. Die 100 nervigsten Deutschen bist du! Immer reden, aber wenigstens nix tun. Als ob einem alle Zähne ausfallen. Und man hat nur 13 Wochen altes Brot daheim","00:00:24","00:00:54",30,"https://www.youtube.com/embed/ypkhUCRLeQE?start=24&end=54&autoplay=1"
"H_DjShadow_Buildin","H907","Dj Shadow","Building Steam With A Grain of Salt","1996","Hip-Hop/Rap","Instrumental Hip-Hop","165",NA,"0.83","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_DMX_XGonGiv","H004","DMX","X Gon' Give It To Ya","2003","Hip-Hop/Rap","Gangsta Rap","95",NA,"mittel-hoch","instrumental + vocal",NA,"en",NA,"It's what you hearin' (it's what you hearin'). It's what you hearin' (listen). It's what you hearin' (listen). It's what you hearin' (listen). X gon' give it to ya (what). waiting for you to get it on your own, X gon' deliver to ya (uh). Knock knock, open up the door, it's real. With the non-stop, pop-pop of stainless steel. Go hard, getting busy wit it. But I got such a good heart. That I'll make the wonder if he did it. Damn right, and I'll do it again (yeah). 'Cause I am right so I gots to win. Break bread with the enemy (what). But no matter how many cats I break bread with I'll break who you sendin' me (yeah). You never wanted nothing (uh, what). But your life saved, and that's on a light day. I'm getting down, down like a said, ""Freeze"" (uh)","00:00:20","00:01:03",43,"https://www.youtube.com/embed/fGx6K90TmCI?start=20&end=63&autoplay=1"
"H_Drake_TooMuch","H077","Drake","Too Much","2013","Hip-Hop/Rap",NA,"140",NA,"mittel-hoch","instrumental + vocal",NA,"en",NA,"Don't think about it too much, too much, too much, too much. This is more than just a new lust for you. Oh-oh, don't think about. Done sayin' I'm done playin'. Last time was on the outro. Stuck in the house, need to get out more. I've been stackin' up like I'm fund-raisin'. Most people in my position get complacent. Wanna come places with star girls, and they end up on them front pages. I'm quiet but I just ride with it. Moment I stop havin' fun with it, I'll be done with it. I'm the only one that's puttin' shots up. And like a potluck, you need to come with it. Don't run from it, H-Town in the summer time, I keep it 100. Met a lot of girls in my times there, word to Paul Wall, not one fronted. I was birthed there in my first year. Man, I know that place like I come from it. Backstage at Warehouse","00:00:31","00:01:20",49,"https://www.youtube.com/embed/BPwCd9vjO6E?start=31&end=80&autoplay=1"
"H_DrDre_NuthinB","H113","Dr. Dre","Nuthin' But A G thang","1992","Hip-Hop/Rap","Gangsta Rap","95",NA,"mittel","instrumental + vocal",NA,"en",NA,"at the same time burnin' her man. Now you know I ain't with that shit, Lieutenant. Ain't no pussy good enough to get burnt while I'm up in it. (Yeah) And that's realer than Real-Deal Holyfield. And now you hookers and hoes know how I feel. Well if it's good enough to get broke off a proper chunk. I'll take a small piece of some of that funky stuff. It's like this and like that and like this and uh. It's like that and like this and like that and uh. It's like this and like that and like this and uh. Dre, creep to the mic like a phantom. Well I'm peepin' and I'm creepin' and I'm creepin'. But I damn near got capped 'cause my beeper kept beepin'. Now it's time for me to make my impression felt. So sit back, relax, and strap on your seatbelt. You never been on a ride","00:01:50","00:02:29",39,"https://www.youtube.com/embed/l4E4XC7qOfk?start=110&end=149&autoplay=1"
"H_DrDre_StillDR","H109","Dr. Dre ft. Snoop Dogg","Still D.R.E.","2001","Hip-Hop/Rap","Gangsta Rap","93",NA,"mittel","instrumental + vocal",NA,"en",NA,"They want to know if he still got it. They say rap's changed. They wanna know how I feel about it. (If you ain't up on thangs). Dr. Dre is the name. I'm ahead of my game. Still puffing my leafs. Still with the beats, still not loving police. Still rock my khakis with a cuff and a crease. Still got love for the streets, reppin' 213 (For life). Still the beats bang, still doing my thang. Since I left ain't too much changed, still. I'm representing for them gangstas all across the world. (Still) Hitting them corners in them low-lows, girl. Still taking my time to perfect the beat. And I still got love for the streets, it's the D-R-E. I'm representing for them gangstas all across the world. (Still) Hitting them corners","00:00:56","00:01:38",42,"https://www.youtube.com/embed/_CL6n0FJZpk?start=56&end=98&autoplay=1"
"H_Eminem_LoseYou","H036","Eminem","Lose Yourself","2002","Hip-Hop/Rap",NA,"65,5",NA,"mittel","instrumental + vocal",NA,"en",NA,"calm and ready. To drop bombs, but he keeps on forgettin'. What he wrote down, the whole crowd goes so loud. He opens his mouth, but the words won't come out. He's chokin', how, everybody's jokin' now. The clocks run out, times up, over, blaow. Snap back to reality, ope there goes gravity. Ope, there goes Rabbit, he choked. He's so mad, but he won't give up that easy? No. He won't have it, he knows his whole back's to these ropes. It don't matter, he's dope, he knows that, but he's broke. He's so stagnant, he knows, when he goes back to this mobile home, that's when it's. Back to the lab again, yo, this whole rhapsody. Better go capture this moment and hope it don't pass him. You better lose yourself in the music, the moment. You own it, you better never let it go. You only get one shot, do not miss your chance","00:01:01","00:01:47",46,"https://www.youtube.com/embed/_Yhyp-_hX2s?start=61&end=107&autoplay=1"
"H_Eminem_Mocking","H033","Eminem","Mockingbird","2004","Hip-Hop/Rap",NA,"84",NA,"niedrig","instrumental + vocal",NA,"en",NA,"growing up. As daddy that he had to see. Daddy don't want you to see. But you see just as much as he did. We did not plan it to be this way. Your mother and me. But things have got so bad between us, I don't see us ever being together ever again. Like we used to be when was teenagers. But then of course. Everything always happens for a reason. I guess it was never meant to be. But it's just something. We have no control over. And that's what destiny is. But no more worries. Rest your head and go to sleep. Maybe one day we'll wake up. And this will all just be a dream. Now hush little baby don't you cry. Everything's gonna be alright. Stiffen that upper lip up little lady. I told ya, daddy's here to hold ya","00:01:10","00:01:48",38,"https://www.youtube.com/embed/S9bCLPwzSC0?start=70&end=108&autoplay=1"
