"code","song_code","artist","title","year","genre","subgenre","tempo (BPM)","key","energetics","instrumentation_groups","instrumentation","language","explicit_new","lyrics timeframe","timestamp_start","timestamp_end","duration_sec","url_excerpt"
"H_SoulPosition_Pricele","H114","Soul Position","Priceless","2006","Hip-Hop/Rap","Alternative","74",NA,"mittel-hoch","instrumental + vocal",NA,"en",NA,"You got a brand new Range Rover but it's rented \n So you gotta have it back Monday morning at 9 \n Prol'ly never catch me tryna floss or shine \n If you see me out then I'm on the grind \n Get from point A to B, enjoy the ride \n I'm drivin this cause it's all I could afford to buy \n Is that supposed to be platinum? \n C'mon dawg, don't play with me, that can't be real \n I know what you told me you paid for \n But what they gave you, is really stainless steel \n I guess this means I'm a playa hater \n Cause I think it's the fakest chain I've ever seen \n As long as you know (yeah) that if you keep wearin that \n Around your neck, it'll prol'ly turn green","00:00:30","00:01:05",35,"https://www.youtube.com/embed/iSPABZl4gF8?start=30&end=65&autoplay=1"
"H_SSIO_Nullkom","H049","SSIO","Nullkommaneun","2016","Hip-Hop/Rap","Deutschrap","90",NA,"hoch","instrumental + vocal",NA,"de","yes","Nutte, ich bin der erste Rapper mit Inhalt und Message. Es geht um Drogen, Huren und immer um Mecces. Rapper machen Ansagen und Absagen. Mit Tracks, die klingen, wie schwanzblasende Balladen. Stoff ticken ist die Basis für Rap-Singles. Du kommst mit Punchlines, ich aus Maastricht mit Stecklinge. Plastiktüten mit Hanfblatt und Zipverschluss. Irgendwie macht man durch Straftaten immer plus. Wen juckt deine Meinung, Hure? Beschwerst dich wegen Style und Coolness, Reimstrukturen. Hab' zerknüllte Batzen statt goldener Mastercard. Bums deine Mami, weil heute ist Vatertag","00:02:51","00:03:30",39,"https://www.youtube.com/embed/Slei8n08Cqk?start=171&end=210&autoplay=1"
"H_SSIO_Sim-Kar","H076","SSIO","Sim-Karte","2016","Hip-Hop/Rap","Deutschrap","92",NA,"mittel-hoch","instrumental + vocal",NA,"de","yes","Meine Finger sind flink auf Rubbelfeldern \n Sämtliche Passwörter sind umbenennbar \n Ich steck' die Karte in das Samsung-Handy \n Stell mich auf die Straße und mach' den Balotelli, Nuttööö \n Ich hab 'ne neue Nummer, 'ne neue Nummer \n Ich hab 'ne nigelnagelneue Nummer \n Ich hab 'ne neue Nummer, 'ne neue Nummer \n Nebenbei dicker Schwanz und teure Klunker Ich hab 'ne neue Nummer, 'ne neue Nummer \n Ich hab 'ne nigelnagelneue Nummer \n Ich hab 'ne neue Nummer, 'ne neue Nummer \n Nebenbei dicker Schwanz und teure Klunker. Endlich keiner der mit unbekannt anruft \n Wenn ich euch treff', hau' ich alle um mit Sandhandschuh'n","00:01:36","00:02:15",39,"https://www.youtube.com/embed/WubC91-Wv9Q?start=96&end=135&autoplay=1"
"H_SuffDaddy_KCVodka","H916","Suff Daddy","K C Vodka","2021","Hip-Hop/Rap","Instrumental Hip-Hop","80",NA,"0.23","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_TomDoolie_BlueBoo","H918","Tom Doolie","Blue Book","2020","Hip-Hop/Rap","Instrumental Hip-Hop","79",NA,"0.28000000000000003","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_tomppabeats_onetwos","H919","tomppabeats","one two step","2017","Hip-Hop/Rap","Instrumental Hip-Hop","90",NA,NA,"instrumental + vocal",NA,"en",NA,"i reach for you honey, you reach for me",NA,NA,NA,NA
"H_Trailerpark_Schlech","H001","Trailerpark","Schlechter Tag","2012","Hip-Hop/Rap","Pop","72",NA,"hoch","instrumental + vocal",NA,"de",NA,"Doch so kommst du unter Leute auf der Rückbank im Polo \n Es gibt Trinkgeld für’s Schlucken, du flüsterst „No homo“ \n Und du machst Schotter, denn du bist ein niedlicher Boy \n Ey, ist doch alles halb so wild, wie der Tiger von Roy \n Die Drogen frisch, die Freier alt und AIDS ist kein Problem \n Frag doch die Mayas, Kumpel, davon wird die Welt nicht untergehen \n Ey, ey, ey, neulich so, ich ließ mir den Granatapfel munden und \n Ich drehte in der A-Klasse Runden, doch hab’ einfach keinen Parkplatz gefunden \n Wo ich stand war nur für Sparkassenkunden \n Und das haben sie als Strafakt empfunden, krass \n Was wolltest du sagen, dass dir der Gaza nicht passt? \n Ganz ohne Schadensersatz wirst du Soldat in der Schlacht \n Und du bist gerade mal","00:00:19","00:01:01",42,"https://www.youtube.com/embed/MR9wopKwBRY?start=19&end=61&autoplay=1"
"H_TravisScott_Antidot","H037","Travis Scott","Antidote","2015","Hip-Hop/Rap","Trap","131",NA,"hoch","instrumental + vocal",NA,"en",NA,"Don't you let out that antidote (yeah) Poppin' pills is all we know (ooh) In the hills is all we know (Hollywood) Don't go through the front door (through the back) It's lowkey at the night show (ooh) So don't you open up that window (ooh) Don't you let out that antidote, yeah Party on a Sunday (that was fun) Do it all again on Monday (one more time) Spent the check on a weekend (oh my God) I might do it all again (that's boss shit)","00:00:27","00:01:11",44,"https://www.youtube.com/embed/KnZ8h3MRuYg?start=27&end=71&autoplay=1"
"H_TwentyonePilots_LaneBoy","H028","Twentyone Pilots","Lane Boy","2015","Hip-Hop/Rap","Alternative","160",NA,"hoch","instrumental + vocal",NA,"en",NA,"They think this thing is a highway \n If it was our way, we'd have a tempo change every other time change \n 'Cause our minds change on what we think is good \n I wasn't raised in the hood \n But I know a thing or two about pain and darkness \n If it wasn't for this music I don't know how I would have fought this \n Regardless, all these songs I'm hearing are so heartless \n Don't trust a perfect person and don't trust a song that's flawless, honest \n There's a few songs on this record that feel common \n I'm in constant confrontation with what I want and what is poppin' \n In the industry it seems to me that singles on the radio are currency \n My creativity's only free when I'm playing shows \n They say, ""stay in your lane, boy, lane, boy"" \n But we go where we want to","00:00:26","00:01:08",42,"https://www.youtube.com/embed/ywvRgGAd2XI?start=26&end=68&autoplay=1"
"H_TylerCreator_Yonkers","H119","Tyler The Creator","Yonkers","2011","Hip-Hop/Rap","Hip-Hop/Rap","79",NA,"mittel","instrumental + vocal",NA,"en","yes","Jesus called, he said he's sick of the disses. I told him to quit bitching, this isn't a fucking hotline. For a fucking shrink, sheesh, I already got mine. And he's not fucking working, I think I'm wasting my damn time. I'm clocking three past six and going postal. This the revenge of the dicks, that's nine cocks that cock 9's. This ain't no V. Tech shit or Columbine. But after bowling, I went home for some damn Adventure Time. (What'd you do?) I slipped myself some pink Xannies. And danced around the house in all-over print panties. My mom's gone, that fucking broad will never understand me. I'm not gay, I just wanna boogie to some Marvin. Fuck her, Wolf Haley robbing 'em. I'll crash that fucking airplane that that faggot nigga B.o.B is in. And stab Bruno Mars in his goddamn esophagus. And won't stop until the cops come in","00:01:00","00:01:50",50,"https://www.youtube.com/embed/XSbZidsgMfw?start=60&end=110&autoplay=1"
