F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.0,0.0,0.0,0.0,-100.0,0.0015342338,0.98834115,1.0276117e-06,0.99886626,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.142675e-12,6.857006e-11,5541.211,11053.711,16566.21,19853.613,7.153889e-06,11046.534,173.15599,40516720.0,-1.0390466e-08,1.799991,2.5425526e-19,7.330864,5.2730626e-18,-5.978226,0.025215961,-1.4036483,0.04521735,-0.7005846,0.063589,-0.41597244,0.047533292,-0.25082496,0.091389,-0.12160703,0.108067445,-0.0322601,0.077491105
0.0,0.0,0.0,0.0,0.0,-100.0,0.0012840998,0.98834115,6.8507444e-07,0.99861425,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.6707104e-12,3.503033e-11,3703.711,7378.711,11053.711,13250.098,9.064896e-06,7364.3555,86.577995,27011146.0,-1.5498202e-08,1.199994,1.1110548e-19,4.8872433,2.7793974e-18,-2.989113,0.0126079805,-0.7018241,0.022608675,-0.3502923,0.0317945,-0.20798622,0.023766646,-0.12541248,0.0456945,-0.060803514,0.054033723,-0.01613005,0.038745552
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,3.4253722e-07,0.9935753,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.9874563e-13,1.4905923e-12,1866.2109,3703.711,5541.211,6646.582,9.064896e-06,3682.1777,8.632051e-06,13505573.0,-2.0605938e-08,0.599997,-3.20443e-20,2.4436224,2.8573246e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.97896194,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,1.9110078e-06,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010339657,0.98834115,0.0,0.94192487,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0,0.0,43.066406,43.066406,43.066406,43.066406,0.0,0.0,8.632051e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-100.0,0.0010379277,0.9890323,5.932919e-07,0.877677,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.74087065,0.6056798,1.0580038e-12,3.6868932e-12,2325.586,3373.5352,5699.121,6330.7617,3.2032715e-06,3630.1863,8.632051e-06,13432253.0,-0.04961879,0.59556115,-6.0555016e-14,2.4399824,2.3113692e-12,-0.29317656,0.45927405,-0.60367084,0.71838254,-0.7977119,0.8386602,-0.8410936,0.80765253,-0.7434177,0.6553692,-0.55169463,0.4410174,-0.33162066,0.23074402
0.0,0.0,0.0,0.0,0.0,-100.0,0.0021823638,1.1008557,2.59061e-06,0.78684807,0.1389324,0.29449025,0.4466441,0.58843476,0.7240222,0.8686579,0.96210545,1.0202237,1.0898746,1.2083873,1.2535452,1.2881154,1.3935122,1.4034935,1.4638935,1.5230516,1.5732855,1.6205168,1.6281239,1.5890082,1.4984585,1.3588368,1.1720152,0.9838767,0.8305848,0.700157,1.5428794e-10,8.4046947e-10,2885.4492,6962.4023,11441.309,12704.59,3.493457e-05,6982.914,18.093172,30719190.0,-0.06315616,1.0737252,-4.429176e-11,4.667338,1.0250685e-09,-1.0361811,-2.626775,-4.01564,-0.7781097,-0.45339915,3.4984484,-1.7394937,3.9752417,2.490423,3.5135844,-0.24468859,0.15385169,-4.1336484,-3.0797503
0.0,0.0,0.0,0.0,0.0,-100.0,0.0040577753,1.4963585,5.876112e-06,0.67838246,0.1785906,0.38727275,0.5706101,0.73618585,0.93626136,1.205973,1.4071751,1.4177755,1.495533,1.8537469,1.8130684,1.7179638,1.9904009,1.876337,1.9706217,2.0474718,2.103326,2.242911,2.2052817,2.0979025,1.9782306,1.7911085,1.5340137,1.2986063,1.0957881,0.9531644,6.7701644e-10,3.6560828e-09,3258.6914,9919.629,16637.988,18590.332,7.3380965e-05,9900.089,25.783579,48462530.0,-0.027063137,1.5105333,-3.6997783e-10,6.632265,4.560601e-09,0.49603534,-4.474317,-5.6046333,-2.0408843,1.0218016,6.125232,0.32739544,2.2801008,2.7202606,2.34011,0.41869485,-0.9150915,-7.993875,-4.669396
0.0,0.0,0.0,0.0,0.0,-100.0,0.0070249382,2.4636188,1.0522632e-05,0.5663895,0.2831008,0.5984039,0.847153,1.1267976,1.5353519,2.0006227,2.6734803,2.4819174,2.5444672,3.7230864,3.3403473,2.7805977,3.2516167,3.0232418,3.1456501,3.3804615,3.4657676,3.701564,3.4989674,3.2120254,3.0881424,2.8515427,2.3647282,2.0302842,1.6649157,1.4398565,2.6262816e-09,1.816075e-08,1205.8594,6962.4023,12044.238,17384.473,0.00013437506,7615.5015,29.823114,46176164.0,0.5921069,2.3877308,-3.1419614e-09,5.1355147,1.6365632e-08,2.412988,-8.2713,-9.512605,-6.8388457,1.9241005,9.090218,3.96113,-2.111785,7.0115433,9.508789,3.3436244,-0.18224518,-8.006602,-4.5309806
0.0,0.0,0.0,0.0,0.0,-100.0,0.009353696,4.102957,1.6053344e-05,0.45616022,0.4562124,0.9381368,1.349069,1.8354098,2.610789,3.2825325,5.309539,4.576823,4.446708,7.3271255,6.206913,4.6336555,5.0098,4.7951846,5.0072207,5.7068543,5.7310967,5.9895687,5.576287,4.919082,4.8388057,4.560713,3.7327569,3.2222989,2.5217972,2.0925019,4.708664e-09,3.375624e-08,861.3281,3718.0664,7048.535,15073.242,0.00016507805,5328.19,14.964531,37524460.0,1.3477758,4.1364427,-7.671009e-09,3.6698933,3.515049e-08,4.74799,-7.639485,-11.291965,-10.07059,2.0862415,10.877881,6.3870316,-7.9337487,4.9612947,7.031181,0.7708373,-6.4765077,-8.171861,-0.11443186
0.0,0.0,0.0,0.0,0.0,-100.0,0.011529304,5.7965493,2.212983e-05,0.36621317,0.6512032,1.2805419,1.8680428,2.653539,3.9555893,4.5523458,8.624794,7.1635995,6.7006607,11.673404,9.56853,6.502308,6.198574,6.3214226,6.7872925,8.224832,7.9447937,7.9248223,7.5717454,6.5679727,6.436342,6.1895165,5.019802,4.379341,3.3080263,2.6412637,9.279171e-09,9.382753e-08,717.77344,1119.7266,2225.0977,10149.316,0.00023589638,3096.6445,9.414561,24276906.0,2.5339415,8.947125,-1.9378321e-08,2.2321844,7.716429e-08,6.2528663,-8.612077,-15.659259,-14.791354,1.860561,15.881726,7.5196443,-9.098181,5.17217,15.970029,6.4264426,-8.4476185,-6.6317725,2.92252
0.0,0.0,0.0,0.0,0.0,-100.0,0.013107065,7.055384,2.8656557e-05,0.29629627,0.78564173,1.5142956,2.2654688,3.3065596,5.1708007,5.6257076,11.700306,9.565637,8.72443,15.486403,12.575851,7.6583333,6.612044,7.191847,7.974837,10.18789,9.309188,8.718795,9.0037,7.8041058,7.438734,7.1315713,5.8192925,5.0737433,3.8027658,2.9920504,1.722287e-08,1.4134757e-07,703.41797,1091.0156,1550.3906,5813.965,0.00025049612,2328.5247,7.4984994,16385328.0,3.4201658,14.85324,-3.1726742e-08,1.7451181,1.1460461e-07,8.210683,-8.260948,-17.246162,-16.87648,0.8363288,16.038996,7.4902434,-7.918322,-1.966818,13.321677,8.142338,-13.470267,-10.167491,2.6960783
0.0,0.0,0.0,0.0,0.0,-100.0,0.014752534,7.4979033,3.3917604e-05,0.25006297,0.8383935,1.6239585,2.512818,3.6477184,6.022671,6.247659,13.161415,10.927086,9.893504,17.5962,14.274943,7.60371,6.5079975,7.4368668,8.362502,11.024798,9.398721,8.252134,9.358851,8.169394,7.4145474,6.8590584,5.8325977,5.0924077,3.850651,3.0348732,3.3399903e-08,2.5217338e-07,717.77344,1105.3711,1177.1484,2253.8086,0.00027986759,1754.9891,6.07429,9745709.0,4.6437593,25.921026,-5.135318e-08,1.3858076,1.7867596e-07,11.377982,-10.370906,-18.00837,-14.775047,-2.1410758,16.213678,6.816875,-9.545044,-2.4654868,15.802624,15.908862,-9.724475,-8.374112,-0.42429718
0.0,0.0,0.0,0.0,0.0,-100.0,0.015766032,7.496588,3.8991027e-05,0.21378182,0.86052346,1.6557363,2.5847332,3.7953856,6.5965004,6.747565,13.315068,11.420127,10.299703,18.277468,14.912204,7.012459,6.757714,7.596335,8.216336,11.080197,9.095982,7.5487137,9.153743,8.015502,6.9157023,6.095939,5.505035,4.826246,3.7055447,2.9208157,4.4869314e-08,2.661308e-07,703.41797,1019.2383,1177.1484,1708.3008,0.00026490967,1520.0048,5.856051,7054314.5,5.3735905,34.056774,-6.215762e-08,1.2327038,2.0925899e-07,12.60979,-10.250131,-18.229395,-14.523917,-3.3146036,14.964816,6.0413814,-7.9050484,2.6854317,10.87972,13.967702,-8.476884,-6.2543335,-1.6133369
0.0,0.0,0.0,0.0,0.0,-100.0,0.017083319,7.2338276,4.4851015e-05,0.1840514,0.8666704,1.6255072,2.595618,3.902937,6.8659782,7.062178,12.723779,11.347847,10.096195,17.51808,14.473718,6.5460267,7.3110046,7.7353134,7.7491527,10.594639,8.669548,7.068784,8.630718,7.414038,6.133072,5.204644,5.1243815,4.6305194,3.481662,2.7074964,7.2750076e-08,3.271758e-07,703.41797,904.39453,1162.793,1349.4141,0.00029176564,1354.1442,5.406691,5267507.5,6.1388683,43.785126,-8.6532616e-08,1.1275047,3.062042e-07,13.697552,-11.143744,-20.647902,-13.882103,-5.6692657,14.502494,4.705255,-7.7651024,9.446443,8.882717,16.216661,-6.649612,-2.8113444,0.083824
