,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H074,H_YungHurnAndRIN_Bianco,24,43,0,Bianco,Yung Hurn & RIN,NA,2016,Hip Hop,Hip-Hop/Rap,,2.42,1.79,9.08,3.77,3.06,4.10,11.91,1.98,13.91,2.62,11.61,17.84,10.85,13.94,,0.04,0.02,0.02,0.03,0.11,0.02,0.12,0.02,0.08,0.04,0.05,0.08,,0.71,0.68,0.68,0.66,0.75,0.26
H075,H_Blackalicious_Alphabe,25,33,0,Alphabet Aerobics,Blackalicious,NA,1999,Hip Hop,Hip-Hop/Rap,,2.82,1.58,14.55,8.98,0.00,1.00,6.22,0.00,16.79,18.33,24.13,15.76,24.72,15.09,,0.13,0.07,0.00,0.02,0.04,0.00,0.15,0.15,0.22,0.06,0.19,0.10,,0.78,0.79,0.77,0.79,0.90,0.60
H076,H_SSIO_Sim-Kar,25,32,0,Sim-Karte,SSIO,NA,2016,Hip Hop,NA,,2.66,1.75,6.03,5.25,0.00,3.54,6.04,0.00,14.60,17.06,20.07,13.19,22.96,13.27,,0.04,0.05,0.00,0.03,0.04,0.00,0.11,0.16,0.17,0.03,0.17,0.07,,0.72,0.74,0.69,0.71,0.85,0.56
H077,H_Drake_TooMuch,25,32,0,Too Much,Drake,NA,2013,Hip Hop,NA,,2.84,1.5,10.20,9.21,9.67,14.72,13.70,5.10,7.57,11.45,11.79,23.09,14.76,10.61,,0.07,0.06,0.07,0.13,0.09,0.05,0.08,0.09,0.07,0.08,0.08,0.07,,0.28,0.28,0.24,0.22,-0.13,0.73
H078,H_ASAPRocky_Fashion,25,33,0,Fashion Killa,A$AP Rocky,NA,2013,Hip Hop,NA,,2,1.49,4.03,5.66,5.80,4.98,7.83,2.30,10.22,4.95,12.41,13.58,12.22,10.24,,0.02,0.03,0.04,0.04,0.08,0.02,0.09,0.04,0.10,0.04,0.07,0.06,,0.73,0.57,0.78,0.54,0.37,-2.63
H080,H_ObieTrice_Gotsome,26,26,0,Got some Teeth,Obie Trice,NA,2003,Hip Hop,NA,,2.81,1.19,2.02,7.54,3.30,5.24,7.50,0.00,13.02,20.55,32.95,15.47,30.33,12.12,,0.01,0.04,0.02,0.04,0.05,0.00,0.10,0.13,0.31,0.03,0.23,0.06,,0.84,0.85,0.80,0.81,0.92,0.85
H081,H_Cunninlynguists_LoveAin,26,26,0,Love Ain't,CunninLynguists,NA,2003,Hip Hop,NA,,3.08,1.31,8.89,12.87,3.23,12.19,4.71,4.03,11.72,23.18,19.84,23.56,25.49,12.34,,0.05,0.08,0.02,0.11,0.04,0.04,0.14,0.21,0.16,0.06,0.18,0.10,,0.62,0.62,0.61,0.61,0.75,0.73
H083,H_Jay-ZAndKanyeWest_NiXXasI,27,26,0,Ni**as In Paris,Jay-Z & Kanye West,NA,2011,Hip Hop,Hip-Hop/Rap,,3.35,2.69,9.42,6.33,2.24,9.95,2.31,0.00,17.52,32.66,37.82,13.92,36.96,15.92,,0.06,0.04,0.01,0.05,0.01,0.00,0.15,0.26,0.31,0.03,0.29,0.09,,0.88,0.89,0.88,0.89,0.94,0.89
H085,H_CunninLynguists_Valleyo,27,23,0,Valley of Death,CunninLynguists,NA,2007,Hip Hop,Hip-Hop/Rap,,2.7,1.22,11.13,13.24,0.00,13.09,2.78,1.36,9.31,14.14,16.55,18.56,19.03,9.58,,0.07,0.07,0.00,0.09,0.04,0.01,0.12,0.12,0.12,0.05,0.12,0.08,,0.52,0.51,0.44,0.43,0.69,0.54
H087,H_Eminem_TillICo,28,30,0,Till I Collapse,Eminem,NA,2002,Hip Hop,NA,,3.3,3.3,11.90,15.56,1.00,4.90,0.00,0.00,10.10,39.20,26.19,20.87,34.69,9.15,,0.06,0.06,0.01,0.04,0.00,0.00,0.11,0.39,0.18,0.04,0.28,0.07,,0.88,0.89,0.88,0.88,0.95,0.91
H088,H_KendrickLamar_Rigamor,28,30,0,Rigamortus,Kendrick Lamar,NA,2011,Hip Hop,Hip-Hop/Rap,,2.5,1.3,5.64,3.21,1.76,2.13,5.89,1.01,18.51,15.46,20.82,11.22,21.48,17.20,,0.03,0.03,0.01,0.02,0.05,0.02,0.17,0.11,0.18,0.03,0.15,0.12,,0.75,0.75,0.76,0.76,0.88,0.53
H090,H_ChineseMan_IveGotT,28,30,0,I've Got That Tune,Chinese Man,NA,2007,Hip Hop,Hip-Hop/Rap,,3.23,1.43,13.91,6.29,6.16,4.93,16.63,0.00,5.85,14.70,33.20,21.28,30.67,5.39,,0.08,0.04,0.04,0.04,0.17,0.00,0.05,0.07,0.34,0.08,0.22,0.03,,0.83,0.83,0.84,0.84,0.91,0.94
H092,H_KendrickLamar_Alright,29,37,0,Alright,Kendrick Lamar,NA,2015,Hip Hop,NA,,2.24,2,5.77,3.47,0.00,3.72,4.50,0.00,12.11,9.44,15.31,12.57,18.36,10.64,,0.03,0.02,0.00,0.02,0.03,0.00,0.14,0.07,0.10,0.02,0.09,0.08,,0.63,0.64,0.57,0.59,0.78,0.33
H094,H_Eminem_ShakeTh,30,25,0,Shake That,Eminem,Nate Dogg,2005,Hip Hop,NA,,2.88,2.36,5.29,1.94,0.36,7.13,5.69,0.00,6.76,9.08,23.50,12.24,23.18,6.18,,0.05,0.02,0.01,0.05,0.06,0.00,0.06,0.06,0.24,0.04,0.16,0.04,,0.78,0.80,0.77,0.80,0.86,0.84
H095,H_ImmortalTechnique_Freedom,30,25,0,Freedom Of Speech,Immortal Technique,NA,2003,Hip Hop,NA,,2.48,1.28,4.71,3.62,0.41,3.83,5.16,1.17,15.09,10.52,13.60,10.36,16.14,13.64,,0.03,0.02,0.01,0.03,0.06,0.01,0.12,0.11,0.14,0.03,0.13,0.08,,0.59,0.59,0.56,0.56,0.74,-0.50
H096,H_SageFrancis_CrackPi,30,25,0,Crack Pipes,Sage Francis,NA,2002,Hip Hop,Hip-Hop/Rap,,2.28,1.2,5.85,10.56,1.10,7.98,3.96,8.09,14.43,10.49,5.59,15.00,9.49,16.62,,0.05,0.07,0.02,0.08,0.03,0.12,0.15,0.11,0.05,0.05,0.08,0.14,,0.28,0.29,0.25,0.27,0.45,0.12
H097,H_Blackstreet_NoDiggi,30,25,0,No Diggity,Blackstreet,"Dr. Dre, Queen Pen",1996,Hip Hop,NA,,3.36,3,17.72,3.94,4.62,12.42,13.96,0.00,2.16,9.06,21.35,25.15,21.24,2.03,,0.10,0.02,0.05,0.10,0.11,0.00,0.01,0.09,0.19,0.07,0.15,0.01,,0.69,0.70,0.69,0.70,0.80,0.93
H099,H_NAS_NYState,31,20,0,N.Y. State of Mind,NAS,NA,1994,Hip Hop,NA,,2.05,1.2,1.43,6.01,0.00,0.91,4.14,2.40,19.74,17.42,14.07,7.93,18.24,18.34,,0.02,0.04,0.00,0.01,0.04,0.03,0.16,0.15,0.12,0.02,0.13,0.11,,0.63,0.66,0.63,0.65,0.84,0.51
H100,H_NickiMinaj_Moment4,31,20,0,Moment 4 Life,Nicki Minaj,Drake,2010,Hip Hop,Hip-Hop/Rap,,2.95,2,8.60,14.18,0.00,2.00,2.88,0.57,9.69,31.28,27.59,18.32,32.53,8.97,,0.03,0.07,0.00,0.01,0.01,0.02,0.09,0.28,0.25,0.03,0.26,0.06,,0.79,0.80,0.78,0.80,0.89,0.86
H102,H_MissyElliott_WorkIt,32,23,0,Work It,Missy Elliott,NA,2002,Hip Hop,NA,,2.52,2.57,7.69,5.47,1.54,3.32,0.26,0.00,11.66,12.28,24.61,10.13,22.06,10.49,,0.04,0.04,0.02,0.03,0.01,0.00,0.11,0.07,0.19,0.03,0.13,0.07,,0.68,0.64,0.71,0.70,0.84,0.61
H103,H_Marteria_Kids,32,23,0,Kids,Marteria,NA,2014,Hip Hop,NA,,2.13,1.57,3.20,8.71,0.00,2.53,7.05,3.95,12.32,4.67,22.05,11.88,19.79,12.68,,0.03,0.07,0.00,0.02,0.05,0.04,0.13,0.03,0.16,0.04,0.10,0.10,,0.63,0.63,0.61,0.60,0.77,-0.01
H104,H_WizKhalifa_YoungW,22,18,0,"Young, Wild & Free",Wiz Khalifa,Snoop Dogg,2011,Hip Hop,NA,,3.22,3.28,14.78,7.59,5.87,14.76,5.27,0.00,4.74,10.62,36.63,21.36,36.60,4.30,,0.07,0.06,0.04,0.13,0.06,0.00,0.04,0.07,0.18,0.07,0.13,0.03,,0.61,0.62,0.72,0.74,0.83,0.91
H105,H_WhySLKnowPlug_RiteBac,33,27,0,Rite Back,Why SL Know Plug,NA,2016,Hip Hop,NA,,2.56,1.33,7.37,4.78,0.00,0.35,1.38,0.54,9.32,10.88,20.87,8.08,20.31,8.38,,0.04,0.02,0.00,0.01,0.01,0.01,0.10,0.09,0.17,0.02,0.14,0.07,,0.75,0.70,0.75,0.68,0.88,0.78
H106,H_BigSeanftKendrickLamar_Control,33,27,0,Control,Big Sean ft. Kendrick Lamar,Kendrick Lamar,2013,Hip Hop,Hip-Hop/Rap,,2.48,1.22,2.63,5.36,0.00,0.93,1.56,1.09,20.74,12.75,14.93,9.16,15.82,19.16,,0.03,0.03,0.00,0.01,0.01,0.04,0.19,0.11,0.14,0.01,0.13,0.13,,0.70,0.71,0.65,0.67,0.88,0.50
H108,,34,30,0,O.P.P.,Naughty by Nature,NA,1991,Hip Hop,NA,,2.83,1.3,6.79,6.29,13.36,23.79,28.13,0.96,9.18,0.00,3.38,25.78,2.95,8.27,,0.05,0.04,0.13,0.21,0.30,0.03,0.08,0.00,0.03,0.14,0.02,0.06,,0.85,0.85,0.82,0.83,0.92,0.94
H109,H_DrDre_StillDR,34,32,0,Still D.R.E.,Dr. Dre,Snoop Dogg,2001,Hip Hop,NA,,3.84,4.06,8.89,8.60,1.79,16.99,12.21,0.00,6.95,28.87,24.55,23.67,32.20,6.48,,0.05,0.04,0.01,0.10,0.09,0.00,0.05,0.24,0.22,0.06,0.23,0.03,,0.84,0.84,0.83,0.84,0.91,0.96
H110,,34,30,0,Put Your Hands Where My Eyes Can See,Busta Rhymes,NA,1997,Hip Hop,NA,,2.93,1.13,15.19,4.57,12.72,7.69,19.11,0.22,5.28,5.96,23.19,23.21,21.90,4.93,,0.08,0.02,0.12,0.08,0.15,0.01,0.05,0.05,0.22,0.09,0.14,0.03,,0.68,0.68,0.63,0.63,0.85,0.92
H111,H_Haftbefehl_LassDie,35,31,0,Lass Die Affen Aus'm Zoo,Haftbefehl,NA,2014,Hip Hop,NA,,2.26,1.45,3.84,7.80,0.79,3.57,2.40,0.65,27.73,19.32,15.81,13.48,24.19,25.05,,0.02,0.03,0.01,0.02,0.01,0.01,0.22,0.13,0.11,0.02,0.12,0.14,,0.78,0.78,0.75,0.77,0.90,0.60
H112,H_JCole_WetDrea,35,31,0,Wet Dreamz,J. Cole,NA,2014,Hip Hop,NA,,3.48,2.23,18.64,8.50,12.97,13.67,18.98,1.40,7.18,14.22,21.48,26.83,24.18,6.38,,0.10,0.05,0.08,0.09,0.13,0.02,0.06,0.09,0.16,0.09,0.13,0.04,,0.71,0.73,0.71,0.72,0.70,0.90
H113,H_DrDre_NuthinB,35,31,0,Nuthin' But A G thang,Dr. Dre,NA,1992,Hip Hop,NA,,3,2.26,12.32,4.01,4.28,10.18,13.02,1.08,8.89,14.66,25.13,23.10,25.80,8.87,,0.06,0.02,0.02,0.07,0.14,0.01,0.07,0.12,0.23,0.06,0.18,0.05,,0.72,0.73,0.66,0.68,0.79,0.82
H114,H_SoulPosition_Pricele,36,27,0,Priceless,Soul Position,NA,2006,Hip Hop,Alternative,,2.52,1.19,6.96,3.44,3.68,1.30,11.28,0.00,6.30,4.65,20.56,14.85,18.97,5.73,,0.04,0.03,0.02,0.02,0.07,0.00,0.08,0.04,0.18,0.04,0.12,0.05,,0.74,0.67,0.63,0.60,0.86,0.84
H115,H_DieOrsons_Ventila,36,27,0,Ventilator,Die Orsons,NA,2015,Hip Hop,NA,,1.93,1.52,5.37,3.26,0.33,1.46,3.11,0.49,12.04,3.25,14.85,9.70,13.58,10.87,,0.04,0.03,0.01,0.02,0.02,0.01,0.13,0.04,0.15,0.02,0.10,0.08,,0.73,0.72,0.74,0.67,0.85,-0.96
H116,H_MethodManAndRedman_HowHigh,36,27,0,How High,Method Man & Redman,NA,1995,Hip Hop,NA,,2.7,1.74,9.60,1.98,0.91,1.39,10.01,0.00,8.73,12.39,21.36,14.53,24.11,7.87,,0.08,0.03,0.01,0.01,0.07,0.00,0.10,0.13,0.18,0.04,0.16,0.06,,0.61,0.61,0.64,0.65,0.86,0.83
H117,H_PublicEnemy_HarderT,37,29,0,Harder Than You Think,Public Enemy,NA,2007,Hip Hop,Hip-Hop/Rap,,2.9,2.1,13.39,5.92,0.00,4.20,5.23,1.75,13.02,25.14,30.54,16.12,31.50,11.86,,0.08,0.04,0.01,0.03,0.03,0.03,0.11,0.18,0.21,0.04,0.19,0.08,,0.63,0.64,0.70,0.71,0.91,0.85
H118,H_Mattafix_BigCity,37,29,0,Big City Life,Mattafix,NA,2005,Hip Hop,NA,,2.86,2.31,17.52,10.71,7.55,15.31,14.59,0.00,4.52,11.58,23.90,24.89,23.90,4.11,,0.09,0.05,0.06,0.12,0.11,0.00,0.03,0.06,0.20,0.08,0.13,0.02,,0.68,0.68,0.65,0.65,0.76,0.91
H119,H_TylerCreator_Yonkers,37,29,0,Yonkers,Tyler The Creator,NA,2011,Hip Hop,Hip-Hop/Rap,,2.38,1.66,6.18,4.13,3.10,0.00,3.40,2.94,22.72,20.90,10.72,8.25,22.54,20.65,,0.05,0.04,0.01,0.00,0.02,0.02,0.20,0.17,0.08,0.03,0.12,0.13,,0.75,0.68,0.74,0.65,0.85,0.68
H901,H_AedFX_Warning,28,30,0,Warning,AedFX,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.1,1.13,6.59,9.13,1.20,0.00,7.40,2.24,31.73,13.44,22.59,14.82,21.67,27.90,,0.03,0.09,0.01,0.00,0.03,0.02,0.37,0.09,0.18,0.04,0.14,0.24,,0.85,0.86,0.83,0.84,0.92,0.61
H902,H_brillion_Aurora,17,29,1,Aurora,brillion,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.41,1.48,11.88,8.35,23.72,24.92,40.42,1.01,2.52,0.00,5.27,34.25,4.89,2.59,,0.09,0.06,0.15,0.23,0.45,0.02,0.02,0.00,0.04,0.18,0.02,0.02,,0.89,0.89,0.88,0.89,0.96,0.99
H903,H_ClaptuClows_sadocto,24,43,0,sad octopus,ClaptuClows,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.3,1.23,10.13,6.78,16.15,21.97,38.31,2.29,1.39,0.71,2.77,30.76,3.21,3.06,,0.05,0.05,0.14,0.26,0.38,0.02,0.01,0.01,0.02,0.16,0.01,0.02,,0.91,0.92,0.91,0.91,0.96,0.98
H904,H_Claptu_Aper,27,25,0,Aper,Claptu,Beatmund Noise,NA,Hip Hop,Instrumental Hip-Hop,,3.36,1.04,8.26,6.49,23.62,20.86,42.10,0.53,5.52,0.00,4.15,32.35,3.88,5.46,,0.07,0.06,0.14,0.19,0.46,0.01,0.04,0.00,0.02,0.17,0.01,0.03,,0.90,0.91,0.90,0.90,0.94,0.96
H905,H_DECAP_Panther,32,23,1,Panther,DECAP,NA,NA,Hip Hop,Instrumental Hip-Hop,,1.74,1,7.59,9.10,1.39,0.30,2.56,0.00,31.40,8.92,14.71,9.87,14.88,28.39,,0.07,0.11,0.02,0.01,0.04,0.00,0.26,0.09,0.09,0.05,0.09,0.16,,0.70,0.72,0.67,0.70,0.92,0.86
H906,H_Dexter_Everyda,29,37,0,Everyday Like This,Dexter,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.59,1.43,6.97,0.60,5.26,1.17,5.62,0.70,11.19,5.64,17.46,14.20,15.72,10.42,,0.03,0.01,0.04,0.01,0.06,0.01,0.13,0.03,0.15,0.03,0.10,0.08,,0.79,0.78,0.76,0.76,0.80,-0.52
H907,H_DjShadow_Buildin,17,29,1,Building Steam With A Grain of Salt,Dj Shadow,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.34,1.21,5.43,7.22,3.77,4.35,6.07,3.56,23.34,10.26,12.64,18.45,16.79,20.46,,0.03,0.04,0.02,0.03,0.03,0.06,0.23,0.10,0.12,0.03,0.11,0.17,,0.71,0.72,0.65,0.66,0.77,-3.16
H908,H_FigubBrazlevic_SilentL,32,23,0,Silent Lava,Figub Brazlevic,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.22,1.17,0.91,3.53,1.54,0.84,17.83,0.00,15.32,0.42,8.21,14.69,7.69,14.03,,0.01,0.04,0.02,0.02,0.17,0.00,0.11,0.01,0.06,0.05,0.04,0.07,,0.74,0.69,0.77,0.71,0.83,-0.06
H909,H_FloFilz_keepitr,24,43,0,keep it real,Flo Filz,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.86,1.21,11.23,4.47,3.07,7.20,18.80,0.00,11.45,10.57,19.82,19.59,20.23,10.35,,0.05,0.03,0.01,0.06,0.14,0.00,0.11,0.06,0.20,0.06,0.14,0.07,,0.79,0.79,0.77,0.76,0.85,0.69
H910,H_idealism_control,33,27,0,controlla,idealism,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.52,1.22,14.23,5.28,18.58,24.13,38.46,8.32,0.00,2.04,6.51,35.69,6.77,6.97,,0.12,0.03,0.13,0.19,0.40,0.09,0.00,0.02,0.05,0.16,0.04,0.03,,0.86,0.87,0.86,0.86,0.93,0.98
H911,H_JoeyPecoraro_YourFav,35,31,0,Your Favorite Place,Joey Pecoraro,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.52,1.48,16.92,21.69,26.70,14.39,44.77,1.57,6.10,5.55,13.54,37.05,14.65,6.81,,0.11,0.15,0.17,0.10,0.45,0.02,0.05,0.03,0.09,0.19,0.06,0.04,,0.86,0.87,0.85,0.85,0.92,0.95
H912,H_LordFinesse_MidasEr,26,26,0,Midas Era,Lord Finesse,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.69,1.27,11.32,9.46,2.34,8.10,19.45,0.74,13.39,9.36,24.10,20.40,21.78,12.19,,0.06,0.05,0.02,0.05,0.15,0.01,0.12,0.08,0.22,0.07,0.15,0.08,,0.72,0.69,0.68,0.67,0.80,0.40
H913,H_montebooker_23,27,27,0,23,monte booker,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.56,1,9.15,14.09,7.40,5.94,16.07,0.00,17.60,7.07,18.70,22.23,17.64,15.93,,0.04,0.06,0.05,0.07,0.17,0.00,0.15,0.05,0.15,0.08,0.10,0.09,,0.64,0.65,0.57,0.58,0.72,-0.52
H914,H_Philanthropextusken_pueblo,34,33,0,pueblo,Philanthrope x tusken,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.03,1.24,7.52,10.43,10.95,15.10,27.09,2.31,4.04,2.52,6.14,25.86,7.16,5.19,,0.07,0.09,0.09,0.17,0.26,0.04,0.04,0.04,0.06,0.13,0.05,0.04,,0.77,0.76,0.80,0.80,0.89,0.96
H915,H_quicklyquickly_swingth,31,20,0,swing theory,quickly quickly,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.25,1.05,6.20,9.08,3.87,7.41,14.57,0.00,16.51,6.93,13.85,17.89,13.99,15.06,,0.05,0.07,0.02,0.08,0.14,0.02,0.10,0.04,0.13,0.07,0.09,0.07,,0.50,0.38,0.46,0.34,0.52,-4.76
H916,H_SuffDaddy_KCVodka,31,21,0,K C Vodka,Suff Daddy,NA,NA,Hip Hop,Instrumental Hip-Hop,,1.86,1,0.00,3.25,2.00,0.92,8.87,2.29,15.08,6.43,11.40,8.37,11.52,14.28,,0.00,0.02,0.01,0.02,0.11,0.03,0.16,0.05,0.09,0.03,0.07,0.11,,0.83,0.68,0.86,0.70,0.71,-0.59
H917,H_Deli_5_32,26,26,1,5_32,The Deli,NA,NA,Hip Hop,Instrumental Hip-Hop,,2.88,1.19,9.04,9.30,17.07,24.82,39.04,0.00,5.99,0.94,7.83,31.97,7.07,5.56,,0.05,0.05,0.13,0.26,0.45,0.00,0.04,0.02,0.04,0.17,0.03,0.02,,0.90,0.91,0.87,0.87,0.94,0.96
H918,H_TomDoolie_BlueBoo,28,29,0,Blue Book,Tom Doolie,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.62,1.21,11.92,8.82,22.72,19.66,37.97,4.05,0.35,0.00,7.91,29.22,7.29,3.49,,0.10,0.08,0.19,0.20,0.44,0.06,0.02,0.01,0.09,0.19,0.06,0.03,,0.88,0.88,0.89,0.89,0.95,0.97
H919,H_tomppabeats_onetwos,33,27,0,one two step,tomppabeats,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.48,1.04,20.38,3.26,8.55,3.22,14.36,0.00,1.96,11.05,35.98,23.56,32.14,1.83,,0.11,0.02,0.07,0.07,0.12,0.00,0.02,0.07,0.33,0.07,0.21,0.01,,0.83,0.84,0.84,0.85,0.95,0.98
H920,H_NoSpirit_Glowing,29,37,0,Glowing Lights,No Spirit,NA,NA,Hip Hop,Instrumental Hip-Hop,,3.11,1.49,3.72,9.33,12.41,12.84,36.67,3.86,3.32,2.76,1.85,30.18,4.23,5.62,,0.03,0.05,0.08,0.12,0.37,0.03,0.02,0.02,0.01,0.12,0.01,0.02,,0.90,0.91,0.89,0.90,0.94,0.97
K001,K_Bartholdy_Sommern,1,13,0,Sommernachtstraum,Bartholdy,NA,1826,Klassik,Romantik,,3.46,2.08,11.51,16.55,3.03,11.54,11.91,0.96,0.92,11.25,17.87,30.03,22.37,1.59,,0.06,0.09,0.05,0.10,0.08,0.05,0.02,0.09,0.15,0.07,0.13,0.03,,0.39,0.37,0.31,0.29,0.43,0.94
K002,K_Haendel_Lasciac,1,12,0,Lascia ch’io pianga,Händel,NA,1705,Klassik,Barock,,3.08,2.17,9.34,15.99,14.77,9.01,42.24,10.60,2.10,7.05,13.08,34.42,12.18,8.48,,0.06,0.07,0.13,0.06,0.37,0.17,0.02,0.03,0.04,0.14,0.04,0.07,,0.60,0.60,0.60,0.61,0.81,0.88
K003,K_StraussR_DonJuan,1,12,0,Don Juan,"Strauss, R.",NA,1888,Klassik,Romantik,,3.67,2.83,9.90,15.42,7.80,16.30,23.78,2.89,7.18,15.01,15.63,28.53,20.73,8.86,,0.07,0.17,0.05,0.13,0.22,0.08,0.05,0.15,0.08,0.13,0.11,0.06,,0.30,0.32,0.19,0.22,0.26,0.77
K0031,K_Mozart_Overtur,7,30,0,Overture - Marriage Of Figaro,Mozart,NA,1786,Klassik,Klassik,,3.97,3.47,27.31,22.06,6.95,15.89,24.85,0.82,6.18,31.20,36.74,35.02,37.45,6.49,,0.19,0.16,0.05,0.12,0.15,0.01,0.03,0.27,0.27,0.14,0.27,0.03,,0.78,0.78,0.79,0.79,0.92,0.96
K004,K_Alfven_Midsomm,1,12,0,Midsommarvaka,Alfvén,NA,1903,Klassik,Romantik,GEMS_2008,3.33,2.25,22.31,20.75,21.45,5.42,26.17,0.00,2.60,10.39,17.02,32.29,21.82,2.44,,0.15,0.14,0.12,0.04,0.23,0.00,0.02,0.08,0.11,0.14,0.10,0.01,,0.40,0.41,0.43,0.44,0.69,0.91
K005,K_Bartok_PianoSo,1,12,0,Piano Sonata BB 88 (Sz. 80),Bartok,NA,1926,Klassik,Expressionismus,GEMS_2008,2.75,2.08,20.51,13.95,7.58,9.27,7.65,0.00,13.46,10.80,18.02,22.58,20.92,12.11,,0.10,0.08,0.08,0.06,0.03,0.00,0.13,0.07,0.13,0.07,0.10,0.08,,-0.09,-0.09,0.05,0.05,0.34,-0.08
K006,K_Rossini_Wilhelm,2,11,0,Wilhelm Tell (Ouvertüre),Rossini,NA,1829,Klassik,Romantik,,3.64,3.91,18.52,14.73,10.74,9.49,4.53,6.18,2.24,33.39,37.43,29.03,42.38,7.31,,0.08,0.09,0.06,0.05,0.02,0.06,0.02,0.20,0.17,0.06,0.18,0.03,,0.50,0.49,0.51,0.50,0.76,0.92
K007,K_Borodin_FuerstI,2,11,0,Fürst Igor (Chorus),Borodin,NA,1890,Klassik,Romantik,,3,2.09,12.62,20.57,10.04,14.07,25.06,4.97,0.00,5.29,16.65,37.71,17.09,4.19,,0.05,0.11,0.06,0.09,0.18,0.03,0.00,0.04,0.06,0.09,0.05,0.01,,0.15,0.16,0.20,0.20,0.42,0.94
K008,K_Tschaikowski_Gremins,2,12,0,Gremin's Aria (Onegin),Tschaikowski,NA,1878,Klassik,Romantik,,2.92,2.33,14.99,12.60,9.15,8.18,20.77,3.33,8.40,8.05,7.58,27.67,10.72,8.10,,0.07,0.07,0.05,0.08,0.13,0.03,0.07,0.03,0.06,0.08,0.05,0.05,,0.15,-0.04,0.25,0.06,0.01,0.78
K009,K_Bruch_KolNidr,2,11,0,"Kol Nidrei, Adagio for Cello and Orchestra, op. 47",Bruch,NA,1880,Klassik,Romantik,GEMS_2008,2.73,2.18,4.19,12.58,9.91,12.90,17.98,5.68,3.00,3.76,10.38,25.39,12.86,7.07,,0.02,0.06,0.06,0.07,0.15,0.06,0.02,0.02,0.06,0.07,0.04,0.03,,0.42,0.32,0.32,0.18,-0.25,0.63
K010,K_Chopin_Concert,2,12,0,Concerto for Piano no. 1 in e Minor. 2. satz. Larghetto,Chopin,NA,1830,Klassik,Romantik,GEMS_2008,3.25,2,10.45,14.14,23.90,22.87,48.16,5.67,0.00,4.05,9.93,38.88,9.39,4.78,,0.04,0.08,0.17,0.15,0.35,0.06,0.00,0.02,0.06,0.15,0.04,0.02,,0.64,0.65,0.69,0.70,0.87,0.94
K0100,K_Wagner_Tristan,33,27,0,"Tristan & Isolde, Liebestod",Wagner,NA,1865,Klassik,Romantik,,2.26,1.3,14.38,8.56,2.60,5.51,1.82,1.36,20.99,10.61,13.31,15.97,16.11,19.17,,0.12,0.07,0.02,0.07,0.01,0.04,0.19,0.10,0.07,0.06,0.08,0.13,,0.68,0.63,0.65,0.55,0.80,-2.73
K011,K_Tschaikowski_WalzerO,3,33,0,Walzer (Onegin),Tschaikowski,NA,1878,Klassik,Romantik,,3.39,1.52,15.46,6.65,7.51,5.68,16.47,0.00,6.05,21.51,38.31,25.68,36.01,5.56,,0.08,0.04,0.04,0.04,0.10,0.00,0.04,0.16,0.35,0.06,0.27,0.03,,0.87,0.87,0.87,0.87,0.92,0.96
K012,K_Dvorak_9SinfII,3,33,0,9. Sinfonie (II. Largo),Dvorák,NA,1893,Klassik,Romantik,,3.94,2.91,20.49,21.14,29.18,40.71,33.82,20.06,3.51,4.31,6.52,39.59,9.69,16.39,,0.12,0.14,0.21,0.37,0.35,0.18,0.03,0.04,0.04,0.22,0.04,0.09,,0.84,0.84,0.82,0.82,0.92,0.96
K013,K_Mozart_Requiem,3,33,1,Requiem,Mozart,NA,1791,Klassik,Klassik,,3.52,2.94,23.17,17.94,9.58,20.46,12.41,11.93,17.08,10.61,7.69,31.81,11.93,22.06,,0.18,0.13,0.07,0.16,0.08,0.11,0.15,0.07,0.06,0.12,0.06,0.13,,0.63,0.61,0.58,0.57,0.53,0.89
