,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H019,H_KIZ_EinAffe,7,30,0,Ein Affe und ein Pferd,K.I.Z.,NA,2013,Hip Hop,NA,,2.43,2.53,7.31,4.99,4.32,2.45,6.83,0.00,26.66,20.86,21.43,16.94,25.26,23.53,,0.03,0.03,0.02,0.03,0.04,0.00,0.25,0.14,0.14,0.03,0.14,0.15,,0.72,0.74,0.72,0.73,0.88,0.01
H020,H_LLCoolJ_AroundT,7,30,0,Around The Way Girl,LL Cool J,NA,1990,Hip Hop,Pop,,3,1.9,11.41,5.45,11.05,8.03,20.32,1.13,3.79,10.46,26.31,25.68,26.19,4.46,,0.05,0.03,0.09,0.08,0.18,0.02,0.03,0.05,0.19,0.08,0.13,0.03,,0.72,0.71,0.71,0.70,0.84,0.94
H021,H_Coolio_Gangsta,7,30,0,Gangsta's Paradise,Coolio,NA,1995,Hip Hop,NA,,3.87,3.97,18.56,9.36,1.20,15.15,7.30,0.69,5.71,33.96,41.13,24.84,40.99,5.92,,0.11,0.05,0.02,0.13,0.04,0.01,0.05,0.27,0.31,0.07,0.29,0.03,,0.82,0.82,0.84,0.84,0.95,0.97
H022,H_CardiB_BodakYe,8,31,0,Bodak Yellow,Cardi B,NA,2017,Hip Hop,NA,,3.13,3.32,6.40,4.70,2.57,0.99,4.34,0.00,9.67,25.86,28.91,13.16,33.25,8.91,,0.02,0.02,0.01,0.01,0.03,0.00,0.08,0.20,0.24,0.02,0.22,0.05,,0.80,0.81,0.77,0.79,0.93,0.93
H023,H_KillerMike_ADIDAS,8,32,0,A.D.I.D.A.S.,Killer Mike,NA,2003,Hip Hop,"Soll laut Youtube Pop sein, aber für mich ist das eher Hip Hop/Rap",,2.66,1.59,10.76,0.93,1.35,3.98,10.01,1.38,8.17,5.44,24.29,17.89,22.44,7.84,,0.04,0.01,0.01,0.02,0.06,0.01,0.07,0.04,0.23,0.03,0.15,0.05,,0.82,0.82,0.81,0.80,0.87,0.80
H024,H_Beginner_Füchse,8,31,0,Füchse,Beginner,Samy Deluxe,1998,Hip Hop,NA,,3.13,1.71,11.00,8.61,1.70,4.70,17.55,3.03,6.10,10.16,26.09,22.96,24.89,8.01,,0.05,0.04,0.01,0.03,0.12,0.03,0.06,0.06,0.23,0.05,0.15,0.05,,0.75,0.75,0.68,0.68,0.86,0.86
H025,H_ScroobiusPip_LetEmCo,9,27,0,Let 'Em Come,Scroobius Pip,NA,2011,Hip Hop,"Hip-Hop/Rap, Alternative/Indie",,2.19,1.33,4.69,8.36,1.91,0.90,1.67,0.00,28.37,18.47,10.92,9.83,16.81,25.86,,0.03,0.04,0.01,0.01,0.01,0.00,0.20,0.16,0.09,0.02,0.13,0.13,,0.71,0.73,0.67,0.70,0.90,0.70
H026,H_SIDO_Fuffies,9,27,0,Fuffies Im Club,SIDO,NA,2004,Hip Hop,NA,,2.3,1.52,4.13,9.25,2.18,0.86,3.91,0.99,19.37,7.36,16.90,11.70,15.89,17.66,,0.02,0.04,0.02,0.01,0.02,0.01,0.12,0.04,0.12,0.02,0.08,0.08,,0.61,0.54,0.62,0.52,0.82,-0.92
H027,H_ChanceRapper_SummerF,9,27,0,Summer Friends,Chance The Rapper,NA,2016,Hip Hop,NA,,2.33,1.3,1.32,4.04,5.33,4.14,11.39,0.00,11.17,2.97,15.17,14.10,14.72,10.35,,0.01,0.03,0.03,0.04,0.09,0.00,0.07,0.02,0.11,0.04,0.07,0.04,,0.74,0.59,0.67,0.49,0.72,-1.55
H028,H_TwentyonePilots_LaneBoy,10,29,0,Lane Boy,Twentyone Pilots,NA,2015,Hip Hop,Alternative,,2.97,1.9,10.76,7.93,0.64,1.53,7.08,2.35,4.43,20.92,16.68,18.59,22.98,6.13,,0.06,0.04,0.01,0.02,0.03,0.02,0.03,0.15,0.14,0.03,0.15,0.03,,0.69,0.69,0.69,0.69,0.84,0.87
H029,H_BBou_Kanona,10,29,0,Kanona,BBou,NA,2012,Hip Hop,Hip-Hop/Rap,,2.21,1.55,7.54,3.64,5.52,2.05,2.50,1.66,10.68,9.29,8.79,11.31,12.54,10.01,,0.04,0.03,0.03,0.01,0.02,0.01,0.07,0.07,0.09,0.03,0.08,0.05,,0.61,0.32,0.57,0.20,0.43,-6.25
H030,H_Roots_YouGotM,10,29,0,You Got Me,The Roots,Erykah Badu,1999,Hip Hop,NA,,3.1,2.31,13.37,6.01,13.37,17.76,14.37,10.14,5.38,7.31,5.36,26.40,9.56,13.42,,0.10,0.04,0.10,0.15,0.15,0.07,0.05,0.06,0.05,0.10,0.05,0.06,,0.46,0.43,0.45,0.42,0.52,0.89
H031,H_KanyeWest_TouchTh,11,28,0,Touch The Sky,Kanye West,NA,2005,Hip Hop,NA,,3.25,2.96,9.76,5.69,6.00,11.27,10.48,0.52,4.14,14.62,29.14,19.81,30.27,4.20,,0.04,0.02,0.02,0.07,0.08,0.01,0.04,0.09,0.24,0.04,0.18,0.03,,0.73,0.71,0.68,0.68,0.83,0.93
H032,H_PharoaheMonch_LetsGo,11,28,0,Let's Go,Pharoahe Monch,NA,2007,Hip Hop,NA,,2.39,1.46,5.10,7.72,0.00,2.55,8.46,0.00,8.93,13.40,16.68,10.80,18.90,8.09,,0.04,0.04,0.00,0.02,0.04,0.00,0.09,0.09,0.11,0.03,0.10,0.05,,0.57,0.44,0.47,0.38,0.70,0.52
H033,H_Eminem_Mocking,11,28,0,Mockingbird,Eminem,NA,2004,Hip Hop,NA,,3.36,3.29,14.65,5.56,9.60,22.60,7.93,26.58,10.42,5.83,7.61,26.18,12.32,25.57,,0.08,0.03,0.07,0.21,0.08,0.24,0.06,0.03,0.05,0.09,0.04,0.13,,0.72,0.73,0.68,0.69,0.76,0.82
H034,H_Eminem_RapGod,12,27,0,Rap God,Eminem,NA,2013,Hip Hop,NA,,3.26,3.33,18.78,14.83,6.10,9.07,4.96,3.09,17.40,21.32,23.83,27.43,27.86,16.25,,0.12,0.06,0.03,0.05,0.02,0.03,0.17,0.16,0.18,0.06,0.17,0.12,,0.63,0.64,0.54,0.54,0.72,0.54
H035,H_Freundeskreis_A-N-N-A,12,27,0,A-N-N-A,Freundeskreis,NA,1997,Hip Hop,NA,,2.48,1.85,3.52,6.57,12.49,13.05,17.81,8.92,8.48,0.00,3.63,24.45,3.39,13.67,,0.01,0.04,0.10,0.17,0.11,0.10,0.05,0.00,0.01,0.08,0.01,0.07,,0.73,0.64,0.68,0.52,0.64,0.88
H036,H_Eminem_LoseYou,12,27,0,Lose Yourself,Eminem,NA,2002,Hip Hop,NA,,3.78,4.04,17.40,10.07,7.78,17.54,10.52,3.70,10.22,24.18,31.21,25.07,33.03,11.62,,0.08,0.07,0.04,0.11,0.07,0.04,0.10,0.22,0.24,0.07,0.23,0.08,,0.67,0.66,0.65,0.65,0.77,0.84
H037,H_TravisScott_Antidot,13,31,0,Antidote,Travis Scott,NA,2015,Hip Hop,Trap,,2.9,2.42,7.13,6.66,2.62,4.90,6.70,0.77,10.80,14.43,26.95,17.86,29.96,9.92,,0.03,0.03,0.02,0.03,0.04,0.01,0.10,0.10,0.20,0.03,0.16,0.07,,0.67,0.69,0.65,0.68,0.85,0.86
H038,H_KendrickLamar_Cartoon,13,31,0,Cartoons & Cereal,Kendrick Lamar,Gunplay,2012,Hip Hop,Hip-Hop/Rap,,2.45,1.65,7.92,10.46,0.00,3.23,2.81,3.01,22.04,10.32,18.60,16.17,19.20,22.44,,0.06,0.05,0.00,0.02,0.01,0.02,0.19,0.08,0.14,0.03,0.11,0.13,,0.69,0.71,0.64,0.66,0.84,-0.65
H039,H_KanyeWest_Runaway,13,31,0,Runaway,Kanye West,NA,2010,Hip Hop,NA,,2.58,1.84,8.32,1.64,7.10,6.76,8.67,5.16,14.91,3.95,16.82,20.87,15.56,17.65,,0.04,0.01,0.04,0.06,0.08,0.04,0.12,0.03,0.11,0.04,0.07,0.09,,0.58,0.53,0.59,0.50,0.59,-1.36
H040,H_Jay-Z_99Probl,14,44,0,99 Problems,Jay-Z,NA,2004,Hip Hop,NA,,2.77,2.52,5.23,4.71,0.78,3.61,8.72,0.00,11.34,24.08,26.32,11.99,29.55,10.31,,0.03,0.03,0.01,0.02,0.06,0.00,0.10,0.20,0.20,0.03,0.20,0.06,,0.87,0.88,0.86,0.87,0.94,0.93
