,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H052,18,37,Congratulations,Post Malone,NA,2016,Hip Hop,Trap,10.36,3.63,4.36,14.12,16.95,1.64,7.61,16.19,26.87,22.85,26.33,8.33,,0.04,0.02,0.04,0.14,0.15,0.01,0.06,0.12,0.24,0.07,0.19,0.04,3.05,,0.66,0.67,0.61,0.62,0.74,0.78,0.61,0.61,0.64,0.65,0.78,0.77,0.78,0.79,0.77,0.77,0.86,0.88
H053,18,37,Fight Music,D-12,NA,2001,Hip Hop,NA,1.15,4.76,0.00,4.53,2.98,0.00,15.29,27.73,20.51,8.03,29.09,14.06,,0.01,0.02,0.00,0.03,0.04,0.00,0.11,0.27,0.17,0.02,0.21,0.07,2.19,,0.81,0.82,0.77,0.78,0.91,0.88,0.69,0.70,0.69,0.70,0.83,0.77,0.86,0.86,0.84,0.84,0.94,0.92
H054,18,37,Work It Out,Jurassic 5,NA,2006,Hip Hop,NA,6.53,8.44,5.95,8.30,14.53,0.00,7.98,11.39,28.71,23.71,25.77,7.20,,0.04,0.04,0.04,0.09,0.11,0.00,0.06,0.08,0.24,0.06,0.17,0.04,1.19,,0.78,0.77,0.74,0.74,0.89,0.89,0.67,0.67,0.67,0.68,0.55,0.68,0.81,0.81,0.79,0.79,0.88,0.90
H055,19,35,Black Spiderman,Logic,NA,2017,Hip Hop,NA,8.21,7.90,4.75,4.95,7.22,1.78,11.45,12.53,21.50,17.05,22.88,11.67,,0.05,0.03,0.02,0.04,0.03,0.03,0.11,0.08,0.15,0.04,0.12,0.08,1.80,,0.63,0.62,0.59,0.56,0.74,0.35,0.41,0.41,0.36,0.38,0.29,0.31,0.69,0.67,0.63,0.61,0.75,0.63
H056,19,35,Hard Knock Life,Jay Z,NA,1998,Hip Hop,NA,11.67,8.00,11.90,12.48,11.44,3.06,7.38,9.07,22.45,26.16,22.28,9.09,,0.05,0.06,0.06,0.09,0.09,0.04,0.05,0.06,0.15,0.07,0.11,0.05,3.43,,0.14,0.15,0.28,0.28,0.34,0.72,0.52,0.52,0.52,0.52,0.54,0.79,0.57,0.58,0.60,0.60,0.65,0.88
H057,19,35,Juicy,The Notorious B.I.G.,NA,1994,Hip Hop,NA,10.78,8.22,5.30,8.71,13.60,1.56,4.14,11.28,20.12,23.71,20.88,5.05,,0.06,0.05,0.03,0.06,0.10,0.02,0.03,0.07,0.12,0.06,0.10,0.03,2.23,,0.48,0.48,0.53,0.54,0.82,0.86,0.46,0.46,0.36,0.36,0.22,0.84,0.62,0.61,0.57,0.56,0.72,0.90
H058,20,24,Lemon,N.E.R.D & Rihanna,NA,2017,Hip Hop,Hip-Hop/Rap,5.52,1.94,1.98,3.13,1.24,0.00,12.77,15.43,18.63,9.29,21.40,11.77,,0.02,0.01,0.02,0.02,0.03,0.00,0.08,0.14,0.17,0.02,0.16,0.05,1.75,,0.64,0.68,0.62,0.67,0.78,0.68,0.40,0.41,0.38,0.40,0.63,0.06,0.70,0.72,0.63,0.65,0.83,0.65
H059,20,24,Candy Shop,50 Cent,Olivia,2005,Hip Hop,NA,7.23,1.94,15.27,12.66,4.45,0.00,3.15,20.87,33.57,22.91,33.39,2.95,,0.05,0.01,0.10,0.06,0.03,0.00,0.02,0.16,0.28,0.05,0.22,0.01,3.88,,0.68,0.70,0.66,0.68,0.77,0.92,0.75,0.75,0.76,0.76,0.84,0.94,0.84,0.85,0.84,0.85,0.91,0.96
H060,20,24,Keep Ya Head Up,2Pac,NA,1993,Hip Hop,NA,4.90,6.02,4.90,5.52,19.81,3.13,3.60,5.89,13.66,21.33,17.36,5.72,,0.04,0.05,0.03,0.04,0.17,0.03,0.03,0.06,0.08,0.07,0.07,0.03,1.96,,0.44,0.42,0.45,0.43,0.69,0.72,0.53,0.54,0.45,0.48,0.19,0.66,0.65,0.66,0.62,0.62,0.66,0.81
H061,21,24,Gibt dem Affen Zucker,Prinz Pi,NA,2008,Hip Hop,NA,5.88,1.90,0.00,0.00,2.79,0.00,16.29,14.64,18.63,7.15,19.04,14.42,,0.04,0.01,0.00,0.00,0.03,0.00,0.17,0.11,0.19,0.02,0.16,0.10,1.13,,0.54,0.58,0.51,0.58,0.72,0.45,0.73,0.72,0.71,0.70,0.82,0.19,0.80,0.80,0.79,0.79,0.86,0.55
H062,21,23,Mind Playing Tricks On Me,Geto Boys,NA,1991,Hip Hop,NA,8.41,4.69,0.00,1.28,5.30,0.73,19.64,7.44,11.37,11.75,11.37,17.62,,0.06,0.02,0.00,0.01,0.05,0.01,0.18,0.09,0.12,0.03,0.10,0.12,1.17,,0.45,0.42,0.44,0.37,0.56,-0.73,0.45,0.48,0.40,0.45,0.69,-1.54,0.60,0.59,0.51,0.53,0.76,-0.41
H063,21,23,If I Ruled The World (Imagine That),NAS,NA,1996,Hip Hop,NA,7.63,11.36,1.55,4.69,9.66,0.00,8.60,14.57,17.40,17.45,18.21,7.87,,0.04,0.05,0.02,0.03,0.09,0.00,0.08,0.10,0.17,0.05,0.14,0.05,1.52,,0.39,0.23,0.42,0.35,0.32,-1.00,0.55,0.59,0.58,0.61,0.75,0.80,0.60,0.60,0.63,0.63,0.71,0.62
H065,22,20,Ms. Jackson,OutKast,NA,2000,Hip Hop,NA,14.37,3.35,1.23,22.09,2.43,4.23,6.84,9.15,24.52,26.88,27.53,8.07,,0.08,0.02,0.01,0.14,0.03,0.03,0.06,0.06,0.20,0.05,0.14,0.05,3.30,,-0.23,-0.24,-0.20,-0.21,0.30,-413.83,0.71,0.72,0.71,0.73,0.81,0.91,0.68,0.69,0.68,0.69,0.81,0.86
H066,22,19,i,Kendrick Lamar,NA,2015,Hip Hop,NA,4.42,4.05,1.11,0.00,2.15,0.00,14.25,9.28,17.99,7.66,19.37,12.89,,0.04,0.04,0.01,0.00,0.01,0.00,0.14,0.07,0.20,0.02,0.14,0.09,1.63,,0.28,0.27,0.18,0.17,0.08,-10.09,0.65,0.66,0.58,0.61,0.75,0.46,0.69,0.70,0.62,0.64,0.78,0.45
H067,23,34,Gold Digger,Kanye West,Jamie Foxx,2005,Hip Hop,NA,14.46,2.60,3.46,14.93,7.06,0.00,5.93,22.45,41.97,20.98,37.69,5.48,,0.05,0.02,0.02,0.09,0.05,0.00,0.05,0.13,0.38,0.04,0.27,0.03,4.12,,0.88,0.89,0.88,0.89,0.94,0.94,0.84,0.85,0.85,0.86,0.88,0.91,0.92,0.92,0.92,0.92,0.95,0.95
H068,23,34,1Ste Liebe,Max Herre,NA,2004,Hip Hop,NA,4.51,3.43,7.96,8.71,12.27,0.00,11.04,0.60,12.99,17.22,12.31,10.07,,0.03,0.02,0.05,0.06,0.08,0.00,0.09,0.01,0.09,0.05,0.05,0.06,1.18,,0.71,0.44,0.54,0.26,0.52,-2.09,0.53,0.31,0.63,0.32,0.54,0.28,0.74,0.34,0.73,0.29,0.73,0.21
H069,23,34,Mask Off,Future,NA,2017,Hip Hop,Hip-Hop/Rap,10.72,3.11,3.30,6.93,3.42,1.75,12.13,16.74,20.98,15.52,21.11,12.40,,0.06,0.02,0.04,0.06,0.05,0.02,0.08,0.14,0.19,0.05,0.17,0.06,2.74,,0.36,0.39,0.29,0.34,0.59,-0.08,0.53,0.55,0.59,0.59,0.72,-0.20,0.62,0.63,0.67,0.68,0.82,0.39
H070,23,34,It Was A Good Day,Ice Cube,NA,1992,Hip Hop,NA,3.11,1.94,2.58,9.09,9.70,0.00,12.19,6.00,12.83,16.28,14.94,11.09,,0.01,0.01,0.02,0.07,0.08,0.00,0.09,0.04,0.10,0.04,0.07,0.06,1.65,,0.50,0.43,0.47,0.39,0.52,-12.75,0.69,0.58,0.69,0.54,0.59,0.24,0.77,0.68,0.75,0.62,0.70,-0.50
H073,24,43,EdoppelR,eRRdeKa,NA,2012,Hip Hop,NA,5.14,2.73,0.00,2.37,7.31,0.90,11.34,7.67,15.93,10.34,16.73,10.43,,0.02,0.01,0.00,0.02,0.06,0.01,0.11,0.04,0.16,0.02,0.10,0.07,1.40,,0.69,0.63,0.63,0.49,0.75,-1.00,0.61,0.62,0.52,0.54,0.73,0.52,0.78,0.77,0.72,0.70,0.85,0.48
H074,24,43,Bianco,Yung Hurn & RIN,NA,2016,Hip Hop,Hip-Hop/Rap,9.08,3.77,3.06,4.10,11.91,1.98,13.91,2.62,11.61,17.84,10.85,13.94,,0.04,0.02,0.02,0.03,0.11,0.02,0.12,0.02,0.08,0.04,0.05,0.08,1.79,,0.71,0.69,0.65,0.64,0.75,0.70,0.36,0.26,0.38,0.32,0.49,0.65,0.71,0.68,0.68,0.66,0.75,0.26
H075,25,33,Alphabet Aerobics,Blackalicious,NA,1999,Hip Hop,Hip-Hop/Rap,14.55,8.98,0.00,1.00,6.22,0.00,16.79,18.33,24.13,15.76,24.72,15.09,,0.13,0.07,0.00,0.02,0.04,0.00,0.15,0.15,0.22,0.06,0.19,0.10,1.58,,0.76,0.76,0.74,0.75,0.87,0.47,0.42,0.45,0.41,0.47,0.66,0.27,0.78,0.79,0.77,0.79,0.90,0.60
H076,25,32,Sim-Karte,SSIO,NA,2016,Hip Hop,NA,6.03,5.25,0.00,3.54,6.04,0.00,14.60,17.06,20.07,13.19,22.96,13.27,,0.04,0.05,0.00,0.03,0.04,0.00,0.11,0.16,0.17,0.03,0.17,0.07,1.75,,0.68,0.69,0.64,0.66,0.74,0.17,0.52,0.52,0.44,0.45,0.77,0.00,0.72,0.74,0.69,0.71,0.85,0.56
H077,25,32,Too Much,Drake,NA,2013,Hip Hop,NA,10.20,9.21,9.67,14.72,13.70,5.10,7.57,11.45,11.79,23.09,14.76,10.61,,0.07,0.06,0.07,0.13,0.09,0.05,0.08,0.09,0.07,0.08,0.08,0.07,1.50,,0.26,0.26,0.08,0.08,-0.05,0.59,0.17,0.19,0.22,0.26,0.45,0.71,0.28,0.28,0.24,0.22,-0.13,0.73
H078,25,33,Fashion Killa,A$AP Rocky,NA,2013,Hip Hop,NA,4.03,5.66,5.80,4.98,7.83,2.30,10.22,4.95,12.41,13.58,12.22,10.24,,0.02,0.03,0.04,0.04,0.08,0.02,0.09,0.04,0.10,0.04,0.07,0.06,1.49,,0.64,0.45,0.70,0.41,0.39,-34.84,0.52,0.46,0.54,0.42,-0.22,-1.96,0.73,0.57,0.78,0.54,0.37,-2.63
H080,26,26,Got some Teeth,Obie Trice,NA,2003,Hip Hop,NA,2.02,7.54,3.30,5.24,7.50,0.00,13.02,20.55,32.95,15.47,30.33,12.12,,0.01,0.04,0.02,0.04,0.05,0.00,0.10,0.13,0.31,0.03,0.23,0.06,1.19,,0.60,0.61,0.55,0.56,0.79,0.61,0.81,0.82,0.74,0.76,0.90,0.80,0.84,0.85,0.80,0.81,0.92,0.85
H081,26,26,Love Ain't,CunninLynguists,NA,2003,Hip Hop,NA,8.89,12.87,3.23,12.19,4.71,4.03,11.72,23.18,19.84,23.56,25.49,12.34,,0.05,0.08,0.02,0.11,0.04,0.04,0.14,0.21,0.16,0.06,0.18,0.10,1.31,,0.50,0.50,0.48,0.48,0.41,0.64,0.37,0.38,0.36,0.38,0.65,0.20,0.62,0.62,0.61,0.61,0.75,0.73
H083,27,26,Ni**as In Paris,Jay-Z & Kanye West,NA,2011,Hip Hop,Hip-Hop/Rap,9.42,6.33,2.24,9.95,2.31,0.00,17.52,32.66,37.82,13.92,36.96,15.92,,0.06,0.04,0.01,0.05,0.01,0.00,0.15,0.26,0.31,0.03,0.29,0.09,2.69,,0.70,0.72,0.70,0.72,0.86,0.61,0.84,0.85,0.85,0.85,0.91,0.90,0.88,0.89,0.88,0.89,0.94,0.89
H085,27,23,Valley of Death,CunninLynguists,NA,2007,Hip Hop,Hip-Hop/Rap,11.13,13.24,0.00,13.09,2.78,1.36,9.31,14.14,16.55,18.56,19.03,9.58,,0.07,0.07,0.00,0.09,0.04,0.01,0.12,0.12,0.12,0.05,0.12,0.08,1.22,,0.31,0.27,0.24,0.24,0.56,0.35,0.56,0.57,0.43,0.45,0.67,-0.31,0.52,0.51,0.44,0.43,0.69,0.54
H087,28,30,Till I Collapse,Eminem,NA,2002,Hip Hop,NA,11.90,15.56,1.00,4.90,0.00,0.00,10.10,39.20,26.19,20.87,34.69,9.15,,0.06,0.06,0.01,0.04,0.00,0.00,0.11,0.39,0.18,0.04,0.28,0.07,3.30,,0.82,0.83,0.82,0.83,0.92,0.87,0.72,0.73,0.71,0.72,0.87,0.77,0.88,0.89,0.88,0.88,0.95,0.91
H088,28,30,Rigamortus,Kendrick Lamar,NA,2011,Hip Hop,Hip-Hop/Rap,5.64,3.21,1.76,2.13,5.89,1.01,18.51,15.46,20.82,11.22,21.48,17.20,,0.03,0.03,0.01,0.02,0.05,0.02,0.17,0.11,0.18,0.03,0.15,0.12,1.30,,0.59,0.60,0.58,0.59,0.73,-0.44,0.61,0.61,0.66,0.66,0.82,0.37,0.75,0.75,0.76,0.76,0.88,0.53
H090,28,30,I've Got That Tune,Chinese Man,NA,2007,Hip Hop,Hip-Hop/Rap,13.91,6.29,6.16,4.93,16.63,0.00,5.85,14.70,33.20,21.28,30.67,5.39,,0.08,0.04,0.04,0.04,0.17,0.00,0.05,0.07,0.34,0.08,0.22,0.03,1.43,,0.72,0.73,0.72,0.73,0.85,0.87,0.69,0.69,0.70,0.71,0.87,0.90,0.83,0.83,0.84,0.84,0.91,0.94
H092,29,37,Alright,Kendrick Lamar,NA,2015,Hip Hop,NA,5.77,3.47,0.00,3.72,4.50,0.00,12.11,9.44,15.31,12.57,18.36,10.64,,0.03,0.02,0.00,0.02,0.03,0.00,0.14,0.07,0.10,0.02,0.09,0.08,2.00,,0.53,0.51,0.56,0.55,0.65,-1.49,0.58,0.60,0.56,0.55,0.72,0.68,0.63,0.64,0.57,0.59,0.78,0.33
H094,30,25,Shake That,Eminem,Nate Dogg,2005,Hip Hop,NA,5.29,1.94,0.36,7.13,5.69,0.00,6.76,9.08,23.50,12.24,23.18,6.18,,0.05,0.02,0.01,0.05,0.06,0.00,0.06,0.06,0.24,0.04,0.16,0.04,2.36,,0.75,0.76,0.73,0.75,0.86,0.91,0.53,0.57,0.50,0.56,0.63,0.09,0.78,0.80,0.77,0.80,0.86,0.84
H095,30,25,Freedom Of Speech,Immortal Technique,NA,2003,Hip Hop,NA,4.71,3.62,0.41,3.83,5.16,1.17,15.09,10.52,13.60,10.36,16.14,13.64,,0.03,0.02,0.01,0.03,0.06,0.01,0.12,0.11,0.14,0.03,0.13,0.08,1.28,,-0.08,-0.05,-0.29,-0.27,0.40,-0.21,0.57,0.57,0.56,0.56,0.61,-6.34,0.59,0.59,0.56,0.56,0.74,-0.50
H097,30,25,No Diggity,Blackstreet,"Dr. Dre, Queen Pen",1996,Hip Hop,NA,17.72,3.94,4.62,12.42,13.96,0.00,2.16,9.06,21.35,25.15,21.24,2.03,,0.10,0.02,0.05,0.10,0.11,0.00,0.01,0.09,0.19,0.07,0.15,0.01,3.00,,0.67,0.66,0.70,0.69,0.86,0.96,0.32,0.36,0.28,0.31,0.32,0.83,0.69,0.70,0.69,0.70,0.80,0.93
H099,31,20,N.Y. State of Mind,NAS,NA,1994,Hip Hop,NA,1.43,6.01,0.00,0.91,4.14,2.40,19.74,17.42,14.07,7.93,18.24,18.34,,0.02,0.04,0.00,0.01,0.04,0.03,0.16,0.15,0.12,0.02,0.13,0.11,1.20,,0.46,0.42,0.36,0.37,0.46,0.42,0.61,0.62,0.61,0.62,0.81,0.21,0.63,0.66,0.63,0.65,0.84,0.51
H100,31,20,Moment 4 Life,Nicki Minaj,Drake,2010,Hip Hop,Hip-Hop/Rap,8.60,14.18,0.00,2.00,2.88,0.57,9.69,31.28,27.59,18.32,32.53,8.97,,0.03,0.07,0.00,0.01,0.01,0.02,0.09,0.28,0.25,0.03,0.26,0.06,2.00,,0.45,0.44,0.39,0.39,0.77,0.83,0.71,0.73,0.72,0.74,0.84,0.72,0.79,0.80,0.78,0.80,0.89,0.86
H102,32,23,Work It,Missy Elliott,NA,2002,Hip Hop,NA,7.69,5.47,1.54,3.32,0.26,0.00,11.66,12.28,24.61,10.13,22.06,10.49,,0.04,0.04,0.02,0.03,0.01,0.00,0.11,0.07,0.19,0.03,0.13,0.07,2.57,,0.74,0.60,0.65,0.49,0.80,0.78,0.66,0.68,0.74,0.76,0.86,0.85,0.68,0.64,0.71,0.70,0.84,0.61
H103,32,23,Kids,Marteria,NA,2014,Hip Hop,NA,3.20,8.71,0.00,2.53,7.05,3.95,12.32,4.67,22.05,11.88,19.79,12.68,,0.03,0.07,0.00,0.02,0.05,0.04,0.13,0.03,0.16,0.04,0.10,0.10,1.57,,0.61,0.34,0.59,0.24,0.49,0.66,0.64,0.65,0.68,0.69,0.86,0.82,0.63,0.63,0.61,0.60,0.77,-0.01
H104,22,18,"Young, Wild & Free",Wiz Khalifa,Snoop Dogg,2011,Hip Hop,NA,14.78,7.59,5.87,14.76,5.27,0.00,4.74,10.62,36.63,21.36,36.60,4.30,,0.07,0.06,0.04,0.13,0.06,0.00,0.04,0.07,0.18,0.07,0.13,0.03,3.28,,0.53,0.59,0.47,0.56,0.67,0.33,0.65,0.66,0.71,0.72,0.80,0.94,0.61,0.62,0.72,0.74,0.83,0.91
H105,33,27,Rite Back,Why SL Know Plug,NA,2016,Hip Hop,NA,7.37,4.78,0.00,0.35,1.38,0.54,9.32,10.88,20.87,8.08,20.31,8.38,,0.04,0.02,0.00,0.01,0.01,0.01,0.10,0.09,0.17,0.02,0.14,0.07,1.33,,0.52,0.49,0.39,0.33,0.70,0.08,0.63,0.54,0.68,0.60,0.81,0.74,0.75,0.70,0.75,0.68,0.88,0.78
H106,33,27,Control,Big Sean ft. Kendrick Lamar,Kendrick Lamar,2013,Hip Hop,Hip-Hop/Rap,2.63,5.36,0.00,0.93,1.56,1.09,20.74,12.75,14.93,9.16,15.82,19.16,,0.03,0.03,0.00,0.01,0.01,0.04,0.19,0.11,0.14,0.01,0.13,0.13,1.22,,0.42,0.46,0.28,0.32,0.71,-0.30,0.61,0.63,0.59,0.61,0.82,0.22,0.70,0.71,0.65,0.67,0.88,0.50
H108,34,30,O.P.P.,Naughty by Nature,NA,1991,Hip Hop,NA,6.79,6.29,13.36,23.79,28.13,0.96,9.18,0.00,3.38,25.78,2.95,8.27,,0.05,0.04,0.13,0.21,0.30,0.03,0.08,0.00,0.03,0.14,0.02,0.06,1.30,,0.77,0.78,0.71,0.72,0.87,0.93,0.69,0.69,0.67,0.67,0.81,0.80,0.85,0.85,0.82,0.83,0.92,0.94
H109,34,32,Still D.R.E.,Dr. Dre,Snoop Dogg,2001,Hip Hop,NA,8.89,8.60,1.79,16.99,12.21,0.00,6.95,28.87,24.55,23.67,32.20,6.48,,0.05,0.04,0.01,0.10,0.09,0.00,0.05,0.24,0.22,0.06,0.23,0.03,4.06,,0.73,0.73,0.73,0.72,0.84,0.94,0.75,0.76,0.74,0.75,0.82,0.89,0.84,0.84,0.83,0.84,0.91,0.96
H110,34,30,Put Your Hands Where My Eyes Can See,Busta Rhymes,NA,1997,Hip Hop,NA,15.19,4.57,12.72,7.69,19.11,0.22,5.28,5.96,23.19,23.21,21.90,4.93,,0.08,0.02,0.12,0.08,0.15,0.01,0.05,0.05,0.22,0.09,0.14,0.03,1.13,,0.57,0.58,0.50,0.50,0.69,0.88,0.43,0.41,0.46,0.45,0.76,0.80,0.68,0.68,0.63,0.63,0.85,0.92
H111,35,31,Lass Die Affen Aus'm Zoo,Haftbefehl,NA,2014,Hip Hop,NA,3.84,7.80,0.79,3.57,2.40,0.65,27.73,19.32,15.81,13.48,24.19,25.05,,0.02,0.03,0.01,0.02,0.01,0.01,0.22,0.13,0.11,0.02,0.12,0.14,1.45,,0.73,0.69,0.67,0.61,0.75,0.40,0.68,0.69,0.65,0.66,0.85,0.14,0.78,0.78,0.75,0.77,0.90,0.60
H112,35,31,Wet Dreamz,J. Cole,NA,2014,Hip Hop,NA,18.64,8.50,12.97,13.67,18.98,1.40,7.18,14.22,21.48,26.83,24.18,6.38,,0.10,0.05,0.08,0.09,0.13,0.02,0.06,0.09,0.16,0.09,0.13,0.04,2.23,,0.40,0.42,0.46,0.48,0.20,0.73,0.56,0.59,0.58,0.60,0.63,0.87,0.71,0.73,0.71,0.72,0.70,0.90
H113,35,31,Nuthin' But A G thang,Dr. Dre,NA,1992,Hip Hop,NA,12.32,4.01,4.28,10.18,13.02,1.08,8.89,14.66,25.13,23.10,25.80,8.87,,0.06,0.02,0.02,0.07,0.14,0.01,0.07,0.12,0.23,0.06,0.18,0.05,2.26,,0.46,0.49,0.32,0.36,0.82,0.84,0.69,0.70,0.64,0.66,0.60,0.51,0.72,0.73,0.66,0.68,0.79,0.82
H114,36,27,Priceless,Soul Position,NA,2006,Hip Hop,Alternative,6.96,3.44,3.68,1.30,11.28,0.00,6.30,4.65,20.56,14.85,18.97,5.73,,0.04,0.03,0.02,0.02,0.07,0.00,0.08,0.04,0.18,0.04,0.12,0.05,1.19,,0.66,0.59,0.49,0.49,0.76,0.75,0.48,0.40,0.43,0.36,0.73,0.65,0.74,0.67,0.63,0.60,0.86,0.84
H115,36,27,Ventilator,Die Orsons,NA,2015,Hip Hop,NA,5.37,3.26,0.33,1.46,3.11,0.49,12.04,3.25,14.85,9.70,13.58,10.87,,0.04,0.03,0.01,0.02,0.02,0.01,0.13,0.04,0.15,0.02,0.10,0.08,1.52,,0.48,0.43,0.51,0.45,0.63,0.31,0.68,0.69,0.67,0.65,0.81,-0.46,0.73,0.72,0.74,0.67,0.85,-0.96
H116,36,27,How High,Method Man & Redman,NA,1995,Hip Hop,NA,9.60,1.98,0.91,1.39,10.01,0.00,8.73,12.39,21.36,14.53,24.11,7.87,,0.08,0.03,0.01,0.01,0.07,0.00,0.10,0.13,0.18,0.04,0.16,0.06,1.74,,0.38,0.40,0.51,0.54,0.67,0.42,0.40,0.43,0.42,0.44,0.75,0.75,0.61,0.61,0.64,0.65,0.86,0.83
H117,37,29,Harder Than You Think,Public Enemy,NA,2007,Hip Hop,Hip-Hop/Rap,13.39,5.92,0.00,4.20,5.23,1.75,13.02,25.14,30.54,16.12,31.50,11.86,,0.08,0.04,0.01,0.03,0.03,0.03,0.11,0.18,0.21,0.04,0.19,0.08,2.10,,0.45,0.50,0.48,0.53,0.61,-6.66,0.59,0.60,0.67,0.67,0.89,0.88,0.63,0.64,0.70,0.71,0.91,0.85
H118,37,29,Big City Life,Mattafix,NA,2005,Hip Hop,NA,17.52,10.71,7.55,15.31,14.59,0.00,4.52,11.58,23.90,24.89,23.90,4.11,,0.09,0.05,0.06,0.12,0.11,0.00,0.03,0.06,0.20,0.08,0.13,0.02,2.31,,0.57,0.56,0.62,0.61,0.86,0.81,0.61,0.61,0.61,0.62,0.71,0.85,0.68,0.68,0.65,0.65,0.76,0.91
H119,37,29,Yonkers,Tyler The Creator,NA,2011,Hip Hop,Hip-Hop/Rap,6.18,4.13,3.10,0.00,3.40,2.94,22.72,20.90,10.72,8.25,22.54,20.65,,0.05,0.04,0.01,0.00,0.02,0.02,0.20,0.17,0.08,0.03,0.12,0.13,1.66,,0.23,0.25,0.19,0.17,0.42,-0.40,0.77,0.71,0.75,0.67,0.83,0.68,0.75,0.68,0.74,0.65,0.85,0.68
H901,28,30,Warning,AedFX,NA,NA,Hip Hop,Instrumental Hip-Hop,6.59,9.13,1.20,0.00,7.40,2.24,31.73,13.44,22.59,14.82,21.67,27.90,,0.03,0.09,0.01,0.00,0.03,0.02,0.37,0.09,0.18,0.04,0.14,0.24,1.13,,0.67,0.69,0.67,0.68,0.80,-0.08,0.82,0.83,0.74,0.76,0.88,0.39,0.85,0.86,0.83,0.84,0.92,0.61
H902,17,29,Aurora,brillion,NA,NA,Hip Hop,Instrumental Hip-Hop,11.88,8.35,23.72,24.92,40.42,1.01,2.52,0.00,5.27,34.25,4.89,2.59,,0.09,0.06,0.15,0.23,0.45,0.02,0.02,0.00,0.04,0.18,0.02,0.02,1.48,,0.82,0.82,0.83,0.84,0.92,0.98,0.81,0.81,0.76,0.78,0.92,0.96,0.89,0.89,0.88,0.89,0.96,0.99
H903,24,43,sad octopus,ClaptuClows,NA,NA,Hip Hop,Instrumental Hip-Hop,10.13,6.78,16.15,21.97,38.31,2.29,1.39,0.71,2.77,30.76,3.21,3.06,,0.05,0.05,0.14,0.26,0.38,0.02,0.01,0.01,0.02,0.16,0.01,0.02,1.23,,0.87,0.88,0.87,0.88,0.94,0.98,0.81,0.82,0.77,0.78,0.91,0.95,0.91,0.92,0.91,0.91,0.96,0.98
H904,27,25,Aper,Claptu,Beatmund Noise,NA,Hip Hop,Instrumental Hip-Hop,8.26,6.49,23.62,20.86,42.10,0.53,5.52,0.00,4.15,32.35,3.88,5.46,,0.07,0.06,0.14,0.19,0.46,0.01,0.04,0.00,0.02,0.17,0.01,0.03,1.04,,0.82,0.83,0.79,0.80,0.90,0.97,0.81,0.82,0.82,0.83,0.88,0.88,0.90,0.91,0.90,0.90,0.94,0.96
H905,32,23,Panther,DECAP,NA,NA,Hip Hop,Instrumental Hip-Hop,7.59,9.10,1.39,0.30,2.56,0.00,31.40,8.92,14.71,9.87,14.88,28.39,,0.07,0.11,0.02,0.01,0.04,0.00,0.26,0.09,0.09,0.05,0.09,0.16,1.00,,0.40,0.39,0.53,0.50,0.82,0.76,0.67,0.69,0.62,0.63,0.88,0.73,0.70,0.72,0.67,0.70,0.92,0.86
H906,29,37,Everyday Like This,Dexter,NA,NA,Hip Hop,Instrumental Hip-Hop,6.97,0.60,5.26,1.17,5.62,0.70,11.19,5.64,17.46,14.20,15.72,10.42,,0.03,0.01,0.04,0.01,0.06,0.01,0.13,0.03,0.15,0.03,0.10,0.08,1.43,,0.65,0.66,0.63,0.64,0.71,-1.85,0.62,0.59,0.56,0.53,0.59,-1.30,0.79,0.78,0.76,0.76,0.80,-0.52
H907,17,29,Building Steam With A Grain of Salt,Dj Shadow,NA,NA,Hip Hop,Instrumental Hip-Hop,5.43,7.22,3.77,4.35,6.07,3.56,23.34,10.26,12.64,18.45,16.79,20.46,,0.03,0.04,0.02,0.03,0.03,0.06,0.23,0.10,0.12,0.03,0.11,0.17,1.21,,0.49,0.52,0.43,0.46,0.57,0.15,0.65,0.65,0.61,0.63,0.83,0.73,0.71,0.72,0.65,0.66,0.77,-3.16
