,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H005,2,11,Meine Große Liebe,Xatar,NA,2015,Hip Hop,NA,6.46,15.86,9.27,0.00,0.67,0.00,3.79,15.98,13.86,19.42,19.77,3.38,,0.05,0.06,0.04,0.00,0.04,0.00,0.04,0.11,0.06,0.04,0.08,0.02,2.00,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.40,0.24,0.37,0.15,0.52,0.70,0.40,0.24,0.37,0.15,0.52,0.70
H006,2,12,Hypnotize,Biggie Smalls,NA,1997,Hip Hop,NA,26.12,12.94,7.75,20.89,17.32,0.00,7.35,13.80,24.72,30.68,23.21,6.89,,0.11,0.07,0.05,0.13,0.10,0.00,0.05,0.07,0.15,0.09,0.11,0.03,3.58,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.41,0.42,0.47,0.47,0.53,0.79,0.41,0.42,0.47,0.47,0.53,0.79
H007,3,34,Shoop,Salt-N-Pepa,NA,1993,Hip Hop,NA,10.04,7.40,3.14,4.87,8.91,0.00,2.97,18.51,38.19,20.36,34.69,2.78,,0.07,0.05,0.02,0.02,0.07,0.00,0.02,0.14,0.36,0.05,0.26,0.01,2.12,,0.78,0.80,0.78,0.80,0.89,0.91,0.83,0.82,0.82,0.81,0.89,0.94,0.89,0.90,0.89,0.89,0.94,0.96
H009,3,33,Where Is The Love,Black Eyed Peas,NA,2003,Hip Hop,NA,23.57,24.06,4.24,18.32,5.87,10.21,4.68,18.01,22.35,29.50,26.19,11.25,,0.16,0.12,0.02,0.14,0.04,0.11,0.03,0.13,0.18,0.10,0.16,0.06,3.97,,0.57,0.57,0.49,0.50,0.47,0.67,0.72,0.72,0.68,0.68,0.84,0.87,0.78,0.78,0.75,0.75,0.85,0.90
H010,4,27,Lass Mal Über Haie Reden,Blumio,NA,2009,Hip Hop,NA,6.31,6.55,3.60,1.51,7.13,2.22,14.38,17.83,24.99,16.56,25.45,15.03,,0.03,0.03,0.02,0.01,0.04,0.01,0.12,0.13,0.23,0.03,0.18,0.08,1.22,,0.64,0.67,0.58,0.61,0.75,-0.40,0.42,0.43,0.45,0.47,0.64,0.64,0.71,0.73,0.70,0.72,0.84,0.58
H011,4,28,One Day,Cyne,NA,2009,Hip Hop,Alternative,8.49,5.35,4.76,5.16,11.32,0.49,5.96,19.01,26.94,16.60,27.11,5.75,,0.06,0.04,0.03,0.03,0.09,0.04,0.04,0.18,0.29,0.05,0.24,0.04,1.36,,0.79,0.79,0.73,0.73,0.87,0.91,0.23,0.27,0.26,0.31,0.32,0.10,0.75,0.76,0.72,0.73,0.85,0.88
H012,4,27,Passin' Me By,The Pharcyde,NA,1992,Hip Hop,NA,11.73,4.02,6.11,3.01,8.79,0.00,15.84,13.98,21.59,16.37,22.99,14.56,,0.06,0.03,0.03,0.05,0.07,0.00,0.11,0.10,0.23,0.05,0.17,0.07,1.56,,0.67,0.69,0.64,0.67,0.73,-0.01,0.39,0.43,0.42,0.44,0.58,-0.43,0.71,0.73,0.67,0.69,0.80,0.25
H013,5,28,Tone It Down,Gucci Mane,Chris Brown,2017,Hip Hop,NA,6.48,6.09,5.04,0.00,11.66,0.69,14.86,18.69,25.62,15.64,27.33,14.13,,0.02,0.04,0.03,0.00,0.06,0.01,0.11,0.15,0.21,0.03,0.19,0.08,1.57,,0.67,0.66,0.58,0.58,0.80,-0.06,0.47,0.45,0.51,0.49,0.76,0.84,0.67,0.69,0.63,0.65,0.84,0.66
H014,5,28,The Story Of OJ,Jay-Z,NA,2017,Hip Hop,NA,10.57,7.65,6.28,7.34,19.78,1.98,12.52,12.15,19.27,22.78,20.72,12.64,,0.06,0.04,0.04,0.05,0.14,0.01,0.14,0.07,0.14,0.06,0.11,0.09,1.57,,0.55,0.43,0.57,0.45,0.71,-21.50,0.30,0.32,0.19,0.21,0.30,0.78,0.47,0.38,0.45,0.37,0.64,0.42
H015,5,28,All Eyez On Me,2Pac,NA,1996,Hip Hop,NA,8.44,6.01,9.27,7.34,17.59,0.81,12.55,12.91,15.62,19.32,22.90,12.17,,0.04,0.03,0.06,0.05,0.11,0.01,0.09,0.07,0.13,0.05,0.10,0.06,1.93,,0.47,0.29,0.39,0.17,0.64,0.31,0.20,0.24,0.21,0.25,0.14,0.25,0.40,0.33,0.33,0.27,0.54,0.41
